,Sl No,Name,Review,Suggestion/Complaint,Vader,sentiment_dict_sompound,TextBlob_Subjectivity,TextBlob_Polarity,flair_sentiment
179,200,mayflyaway,"
Used to be a 5 star product


This *was* a great product. I tried multiple times since I started using in June to leave a 5 star review, but kept getting a message from amazon saying there was suspicious review activity on the product so they weren’t allowing reviews. And I wish I was coming here to leave a 5 star review, alas, they’ve either changed the product or used bad ingredients because not only does it smell like fish, it is making me break out. Plus they were completely out of stock recently. I had initiated a return on the stinky bottle, went to buy a new bottle and they were out. It came back in stock a bit later and I thought surely the stickiness would be cured. Alas the replacement bottle smells just as bad so I’ll be sending both back and switching brands because what a pain in the butt! It’s really u fortunate as this was a fantastic product that completely cleared up the acne fast and made my skin look amazing!
",0,1,0.7262,0.5566719829877724,0.0,0
180,201,©©,"
Don't see a difference


I've been using this cream for a month (at least once a day) and I haven't seen any improvements yet. I only have a few fine lines. It's just a nice light moisturizer, other than that I don't find it useful.
",1,0,0.0598,0.509375,1.0,0
181,202,Andrea Morrison,"
This is amazing. If you're on the fence, do it!


I honestly never ever take the time to write reviews on Amazon .... (I know I should because I always read reviews before buying!) But this product has helped me SO much I feel like I owe it to the seller. I'll try to keep this short(ish) but I started getting terrible acne after having my daughter. Literally after a year I was having the worst hormonal and cystic acne. I am 28 and have never had acne this bad. I tried so many things and nothing was helping. I decided to try the retinol cream after I was already using the vitamin c serum and started to see it helping lighten up my scarring. I've only been using these products together for about 12 days and my skin looks SO much better and keeps clearing and my pores are getting smaller too! I'm so happy I found this product. Thank you! If you're thinking about trying please at least give it a try. I use the retinol every other night, I let it completely soak in for 20 minutes before adding my serum and moisturizer on top. Hope this reviews helps someone else out there!
",1,1,0.9736,0.6561111111111112,0.0,1
182,203,Noelle,"
Gave me the WORST acne of my life!


I know there are a lot of positive reviews on here, and that is why I purchased initially. I have used the cream for nearly 4 weeks now, and I have had the worst breakouts of my life. I usually have very clear skin, and only purchased to help with fine lines that are developing, as I’m turning 30 soon. I have never had any issues with acne, not even as a teenager. Never. After using this cream for about a month, my face has broken out with huge cyst-like acne. I’m terrified I’m going to scar! I really wish I would have just gone to a dermatologist rather than buying a cream on Amazon with, yes good reviews, but not everyone’s skin is the same! Mine certainly did not react well to this cream (as I had heard sometimes happens with retinol but is supposed to go away in a couple weeks) and I have gone from zero acne to a face/forehead/neck full of it. Worst choice ever. Go to a dermatologist!
",0,0,-0.6871,0.561189202953909,0.0,0
183,204,T. Dee.,"
Changed Ingredients, Inferior.


The ingredients were just changed and retinol which why I buy this in lower on the list. Now the label has some bs about ""hyaluronic acid"" which I don't give a rap about. I have rosacea, and there might be new ingredients altogether, which could set my very sensitive skin off. This is absolutely wrong to sell me this garbage and say it's the same thing. I have no idea how much retinol is in here either. Deceptive company.
",0,0,-0.8588,0.5359090909090909,0.0,0
184,205,Jadedadm,"
It works Great


Ok... I have to admit. I am new to this ""fighting the effects of aging"" stuff. I thought I was invincible as a teen. Into my 20s. Into my 30s. So, here I am hovering very close to 40, I wake up one morning and was like... ""geez, Jade, when did you start looking so old? Where did those wrinkles come from? Maybe you shouldn't have smoked all of those years"" ... fast forward to a purchase of various products, including this cost effective treatment... bam. I wake up every day thinking that my wrinkles are going away. I look younger. My neck is less wobbly. It could be some dietary changes coupled with the retinol cream, but who knows. I am going to keep using it, in fact I have a second container already in my Amazon cart, ready for when I finally decide to hit send.
",1,1,0.8903,0.40508658008658005,1.0,0
185,206,Sarah K,"
Sensitive skin, rosacea, cystic acne and dark circles


What I'm working with: Sensitive skin, rosacea, cystic acne (mild and mainly on the sides of my face) BIG pores, dark circles under my eye (hereditary).What this had done for me over the last 5 months has been wonderful.  It took about 3 weeks of every other day (at night)  to get my face to play nice with the retinol cream. I did have a ""purge"" and a few pimples pop up pretty quickly but hey, I'm ok with that. I'm 31 and its nothing I can't handle.  My rosacea has CALMED WAY down. I can now leave my house feeling confident without make-up (Thank you baby Jesus)Acne isn't as bad however I have to take into consideration that most of what I see I feel is stress and or hormonal related. I just started adding the cream to my neck and it's getting the ""purge"" (Oh man is it ever) so we'll just wait and see. Dark Circles is no longer an issue. Not sure if its cream or a combo of cream and massaging my face and getting the blood flowing around my eyes, either way, i'm freaking HAPPY.Didn't do anything for my pores but hey that wrinkle that I started seeing in between my eyes, has now gone. I love the products because it gave me a chance to FINALLY love my skin and it been a long, long road.Products used (at night only):witch hazel as a tonerVitamin C Serum with Hyaluronic Acid for Face...(LilyAna Naturals)Retinol Cream Moisturizer for Face and Eyes,...(LilyAna Naturals)Face Cream Moisturizer (1.7 OZ) Natural Anti-Aging Skin Care (LilyAna Naturals)Side Note: I did buy the LilyAna Naturals eye cream but I used it maybe 3 times.
",1,1,0.9851,0.5352880658436214,1.0,1
186,207,Natalie,"
Not as natural or ""organic"" as I thought!


I bought this due to the raving reviews and was super excited to try this product. I have been wanting an all-natural moisturizer without harmful things in it. I really did notice a difference in my fine lines and it does moisturize well to dry skin. However, I realized that there is Phenoxyethanol listed as an ingredient. I did some digging on the internet and typed if it was safe for the skin. Come to find out it says that it is actually very harmful and should not be absorbed through the skin. I was disappointed to find out that this ingredient was in a cream that's supposed to be NATURAL. I encourage you to read ALL of the listed ingredients before buying!!!
",0,1,0.9392,0.5284722222222223,1.0,0
187,208,JLS,"
Fine lines, be gone!


Over the last several years I have revamped my skincare and makeup to be as natural and organic as possible. This meant throwing out thousands of dollars worth of stuff. No joke. Since then I try only to purchase products with ingredients that individually rate no higher than a 2 in the EWG database. This product, made by a chemist (I asked), is a great way to dip your toe into the retinol pool without the harshness, price, or side effects of retin-a. I put it on every night after my vitamin c serum and wake up looking fractionally better than the day before. I've been using it for months now and overall my skin is more even toned with fewer fine lines. I study every nook and cranny on my face with a mega magnifying lighted mirror, so trust me that I know there is a difference. Not only is there retinol in there, fairly high up in the ingredients list, but there are a host of other good-for-skin ingredients, too. There is only one ingredient I'd like to see them find a way to remove, and that is Phenoxyethanol (which gets a 4 on EWG). Thankfully, it is at the very bottom of the list, but it is the reason I removed a star (with hesitation). I'm eager to try other products by this smaller producer.
",1,1,0.9479,0.4907936507936509,1.0,0
188,209,Amazon Customer,"
Yay for my skin!


I wish I would have taken a before and after picture so you all can see the huge difference this product has made on my face in such a short time.I am 38 and have a combination of concerns for my skin; beginning fine lines and wrinkles and hormonal acne, with overall skin blotchiness. This product helps with all of these concerns!I was initially concerned about the cream drying my skin out but it isn’t a problem at all! I do use moisturizer in the morning and every few days, I layer a thick moisturizer on top of this cream.I would say it is a mild and gentle, yet effective ease into retinol.If you’re hesitant, don’t be and give it a try!
",1,1,0.9283,0.4479166666666667,1.0,1
189,210,Amanda DiRienzo,"
It didn't live up to my expectations


I'm bummed this actually have me blackheads rather than took them away. It also caused more breakouts. I've struggled with acne so I know sometimes it has to get worse before it gets better so I'm going to give it a few more weeks but man,  my cheeks are speckled with blackheads. The texture hasn't improved either. I have hard little bumps and acne scars. This hasn't improved them. Some reviews said they were contacted with usage instructions after purchase. I was not. I use it at night before bed and after I wash my face in the morning. If I know I'll be in the sun I won't use it. It does a decent job of moisturizing but it doesn't hold merrit to some of hype or claims. I am desperately searching for a natural way to clear my skin.
",0,0,-0.7135,0.4839743589743591,0.0,0
190,211,Amazon Customer,"
BE AWARE OF FAKE PRODUCT


I think I received a fake  LilyAna Naturals Retinol Cream. I know that because I have used Retinol before and with this  percentage of retinol it would tingle when you apply it on your skin . This one does nothing, feels and smells like nothing. This is not my first time receiving fake products through Amazon. I regularly use Neutrogena Retinol cream I get from Walgreens and it works wonders. The last time I bought it from Amazon because it was cheaper, I could tell it is nothing like Neutrogena mositurizer . It was fake.
",0,0,-0.8845,0.5908653846153846,0.0,0
191,212,Collin S.,"
It's a pretty good moisturizer


I'm mid 30s, sensitive skin, acne prone, and have my fair share of crows feet and forehead lines.I've used this for a month now and I like it.I use this along with the vitamin c serum, except I normally only use one every other day  due to my skin being sensitive. Some days I have used both and no problems, but I can't go too long using both without feeling irritation. I can't confirm or deny it helps with wrinkles, I really haven't noticed any difference, but it does moisturize my skin without irritation and hopefully with prolonged use it will prevent any future wrinkles.
",1,1,0.952,0.5645833333333334,1.0,1
192,213,Sara Michelotti,"
Confused by all the hoopla


Everything about this product is appealing: the packaging, ingredients, claims and reviews. It seemed like an easy and shockingly affordable win.  But after using the product for a couple of weeks, I'm genuinely mystified by the rave reviews.  Any type of face cream, regardless of it's targeted benefits, should leave your skin feeling fresh, silky and touchable.  You should literally want to molest your own face.  That is not the case.  The product actually leaves my face feeling slightly stiff and tight.  I usually follow it up with some coconut oil or  Elizabeth Arden face cream so I can smile without cracking my face.  This product may work in reducing wrinkles, but there is no joy or satisfaction with using the product.
",0,1,0.5233,0.4906462585034013,0.0,0
193,214,Rose,"
1 week and redness in skin lighter


Product soaks into skin, moisturizes,non greasy and in one week I’ve noticed redness and dark spots much lighter. As for wrinkles I haven’t noticed a big change yet but it’s only been a week. I have purchased a second bottle to give the product a fair chance on wrinkles I’m sure they will take longer to address. I gave it 4 stars because until I see more results with time I can’t say it does everything thing it’s promised to do.I haven’t always taken care of my skin as I should to much sun because I love the outdoors.
",1,1,0.9711,0.47888888888888886,1.0,0
194,215,Amy Matney,"
Works well


Ok. So I’m going to write the best review I can based on my experience with this after using it for a few weeks. I should mention that I use this in combination with other facial products but added this to my routine in an attempt to help with cystic acne. I didn’t notice much of a smelll with it, which was fine with me. It’s oretty thick and a little goes a long way. Although it’s thick it seems to rub in quickly and doesn’t leave my face feeling greasy. The bottle suggests to use it every day unless you experience too much flaking or dryness. Well.... I can’t even use it every day. I used it for a few days straight and even with my other moisturizing day and night face creams, I still got dry, flaky skin. I could even tell where he cram hadn’t gone around my eyes due to the line of rough skin above my cheeks. I do use it about twice a week with no significant problems. My skin does get a bit flaky the day after use but not too bad (this is what retinol cream is supposed to do) and my skin doesn’t feel dry when used this way. It defiantly does what it’s supposed to. But if you have sensitive skin like my I’d take it easy on the application. I will but this again and recommend it to others, just be careful if you have very sensitive skin because it will dry it out and cause flaking even if you moisturize twice per day like I do.
",1,1,0.9868,0.475925925925926,0.0,0
195,216,Road,"
Great product, great customer service, hopefully great results!


Been using this about three weeks, hoping to combat some age spots and sun damage from spending so much time driving and being outside, especially in the desert SW.Though I can't say with any certainty it is doing much yet, I sure like the way it rubs in and that a little seems to go a long way. The most impressive thing so far is that I was sent a great ""how to use"" page of helpful info ahead of delivery, along with a great follow-up or two after delivery. Nice touch, and goes a hell of a long way in making a favorable impression.I use it religiously last thing at night on a freshly rinsed face and first thing in the morning. Just a pea-sized dollop over forehead, each temple, and eyes. Followed before I go out for the day by Healthy Defense SPF30, as this Retinol Cream can increase sensitivity to the sun. Something I wouldn't have known without the great info sent. Have experienced no tingling, peeling, or other problems upon initial or continued use.At this point I think I'll document with images maybe once a week with the same lighting set-up, to better track progress, and will gladly update this review if I have anything additional to report.
",1,1,0.9903,0.5692460317460318,1.0,1
196,217,E. A.,"
Great for sensitive skin!


I am really impressed with this product. My skin gets irritated by nearly everything and I’ve tried several retinol products in the past that caused redness, peeling, and irritation so I was thrilled that this one did its job without any of those side effects! I’m not sure why it hasn’t caused any irritation honestly because 2.5% is a pretty high amount of retinol compared to other over the counter products, but it could be the super hydration this stuff gives. It’s definitely like a night cream, but it hasn’t caused any acne or clogged pores for me even though I have large pores and oily skin. It’s improved my skin’s texture, glow, and blackheads in a matter of days and for a seriously reasonable price tag. I didn’t think I could tolerate retinol products at all and now I am so glad I took a chance on this one! Just make sure to use it only at night and wear SPF during the day! Your new baby skin will need the protection!
",1,1,0.9841,0.6621280663780664,1.0,1
197,218,Amazon Customer,"
Good for acne scars and sensitive skin.


This has worked great on my acne scars. I have pretty significant scar tissue around my jaw because, even though everyone told me not to, I popped all of my pimples. Good news is they’re going away pretty quickly. There’s some other ingredients like willow bark which has salicylic acid and geranium oil which is good for facial aging. I had a stint trying to make my own skincare and I always prefer products where the first ingredient is aloe. It’s a pretty well rounded and effective product. I’ve had a little bit of sensitivity and redness but it’s been pretty minor and I think it’s just part of the process with retinols.
",1,1,0.9625,0.6685185185185185,1.0,1
198,219,Crystal Chavez,"
Simple for someone who doesn't have a skincare routine


I recently noticed my face feeling more dry than usual, and I wanted to find something that could be a simple solution. I don't really have a skincare routine, but I don't really have too many problems with my skin. Since lockdown, I also don't wear a lot of makeup, so I felt like I should take this opportunity to start some sort of routine. This cream feels really nice and there is a light scent that is pleasant. I put this on at night before bed and wake up to soft skin. Looking in the mirror, I don't notice any big difference overall since using it for over a month, but I actually notice the difference in pictures. Overall, my skin has gotten a little more even, my freckles aren't as prominent, and it's helped with my genetically dark eye circles.
",1,1,0.9262,0.4205215419501134,1.0,1
199,220,Summer,"
Spend the damn $20 and give yourself this gift


I have tried so many things Both affordable and expensive. I have taken oral anabiotic’s and have switched birth-controls back-and-forth. I suffer with acne as an adult that I never had when I was a young lady. Although I do look young thank you very much. I have four kiddos and in my 30s. I was really skeptical to buy this because I have spent so much money on different products but I went ahead and I bought it anyway. I said worst case scenario I will be in that koles return line in a jiffy. It Has been three weeks since I bought it and initially I noticed that I had more bumps. And here we are at week three and I have noticed NO NEW PIMPLES I still have scarring from my Old pimples ( don’t judge) Anyway do yourself a favor and buy it ! so creeping into the end of my third week into my fourth I would say that this last about a month I’m about to buy my second bottle I put it on in the morning and before bed. GOOD LUCK
",1,1,0.524,0.33906060606060606,0.0,0
200,221,Evanescent_Moon,"
Helps acne, but the bottle is misleading a bit.


I’ve bought two bottles of the retinol cream as it’s helped my breakouts amazingly. It makes my skin soft and makes my acne smaller or even less painful. The people who sell this are amazing in regards to responses. If you have an issue, they take it seriously and do what it takes to make it right.However, my ONLY complaint is that the bottle isn’t actually a full bottle of retinol cream. It’s the top where the nozzle is. Take it off and you’ll see it’s just a little bit (as another customer pointed out). I love this cream, it’s amazing, but I feel a little bit disappointed that they make this in such a big bottle for only a tiny bit of product. If they’d change that I think a lot of people would be happier with their purchase ya know?Again, not trying to bash the sellers as the products are fantastic, but maybe just changing the bottle to something else to make it more of a happy purchase for customers would be better then feeling a bit mislead on the bottle and only getting a little bit for 17.
",0,1,0.9807,0.6262820512820512,1.0,0
201,222,A.T.,"
The BEST product for sensitive or acne prone skin.


I have been buying this product for at least a year now. I wanted to wait to write a review until I had used the product for a long time since, as I am sure you have found, some products work in the beginning but then begin to cause problems. I am in my mid-30s but still get occasional acne and hormonal breakouts. I have found all other Retinol creams to burn my skin, dry it out, and cause more acne to appear...even if I cut back my usage to a couple times a week (which defeats the purpose). This cream is gentle and luxurious. I use it every single night on my face and neck. I have had no breakouts and it has helped my skin to stay soft and helps to minimize my acne scaring over time. I get hyper-pigmentation which can take years to fade but this cream is very gentle and has helped to even out my skin. It has also worked great through the winter months here in the ""great white North"" as we are running furnaces and such constantly. It is NOT greasy, which I love. I like the pump canister that it comes in and I AM able to get the top off and scrape out every last bit which I like. The GIANT lid does make the product look larger than it is; but that is a minor observation. It is pricey but worth it. I have had times where I have used way too many different products on my face which only makes breakouts worse. I now just wash my face with pure organic honey at night and then put this cream on and then in the morning I wash with my honey again and put on a Korean sunscreen...and that is my entire routine. This product truly has been wonderful. This is coming from a person who cannot even use soap, lotions, or oils on my face without breaking out. I can use this every single day and my skin only gets better, little by little. I can even put this right up around my eyes and on my eyelids with zero sensitivity. Please do not EVER stop making this product and THANK YOU! FIVE STARS!!!
",1,1,0.9942,0.521329365079365,1.0,1
202,223,L.T.'s,"
I want to glow beautiful everyday!


I use this wonderful moisturizer for sensitive skin on my face before bed and the next morning I awaken with soft and plump skin that makes me look like I am glowing. Because the product does contain Retinol, be very careful about being in the sun 🌞 while using it regularly.This small company has wonderful customer service and has a algorithm in place to detect if a customer has purchased their product before on another website. This allows them to make your one on one with them a caring and personable experience! I will purchase their products again, because what woman doesn't like glowing skin with a personal touch! ?
",1,1,0.9619,0.655,1.0,1
203,224,Amazon Customer,"
I was suspect at first...


I didn't think this would work as well as it does! The first week using this i wasn't sold but i continued to use twice a day, and OMG my skin is damn near flawless! I have relativity good skins but from time to time i will get a deep deep zit that will take 3 weeks to come to a head. I have fair skin and even if i do not pick at my face i will be left with a red/brown scar that takes 8 plus months to fade. I want to find a before picture to show you the amazing-ness this product has down for my scars, they are barely visible now! i never wear makeup! it also have evened out my entire face so no more rosey cheeks! I will purchase as soon at i run out, unfortunately it is a pump bottle so i will not know i am out of product this it stops pumping the product out. It has a funky smell but i am not smell sensitive and i love the results, one it soaks into my face i add my usual moisturizer which neutralizes the smell
",1,1,0.8507,0.5076797385620915,1.0,0
204,225,Mara,"
Buy it!!!


I use this ONLY AT NIGHT before I go to sleep with their vitamin-C serum and omg. My acne has completely gone away withing 10 days and my pores have shrunk a little too! 😱😱 im shook. Will definitely buy again!!!Ps. I emphasize ""at night"" because retinol is super bad gor your skin ig you wear it out in the sun. It becomes carcinogenic and will vurn your skin! So only wear at night and wash your face in yhe morning!
",1,0,-0.8691,0.6761904761904761,0.0,1
205,226,Rachel,"
Not vegan


Bought this assuming it was vegan like their other creams, only to find out that it has propolis extract (from bees) in it.  I LOVE Lilyana Naturals, and wish they would take this ingredient out of their retinol product so vegans can reap the benefits of what it has to offer!
",0,1,0.919,0.6583333333333333,1.0,0
206,227,K. Stewart,"
I was skeptical, but I really like this cream.


I ordered this product after seeing it mentioned in some ""Amazon cult favorites"" article.  Used it for a couple of days, said ""eh,"" and put it in a drawer.  I recently got it back out again, and after consistently using it for a couple of weeks, I can say that this is the first product I've used that has actually shown me visible results.  I have large pores and uneven skin tone, and both have a better appearance after using this product nightly.  Other products I had used to address those problems  left me with skin that was somehow flaky and oily at the same time.  I'm very happy with what I see so far with this LilyAna retinol cream moisturizer, and I plan to reorder when I'm out.
",1,1,0.939,0.35079365079365077,1.0,1
207,228,MF,"
LOVE LOVE LOVE


My 10 year old son gave me the best compliment :) said I look like a teenager OK that is a far stretch but hey I will take it!! one thing you can trust is what comes out of a kids mouth! but really I can't say enough about the whole line I am using the C serum and Eye Cream in the morning and the Retinal at night my face feels so soft and the Retinal was so easy on my face I never got red or peeled ! a tiny bit lighter on my sun spot but I have don't even think I have used this a whole month! The smell is very light to none on all of the products I have, that is a huge deal to me!! I have spent as much at $200 for 1 serum at the mall and this is just as good if not better, that one didn't change the spot so in that way better! ;) I just can't get over how much smoother my face is!!! I am touching it constantly and I know that is a no no but it hasn't felt this fab in a long time!!! I will be buying from this company again and for as long as I can remember I don't buy the same thing 2 times in a row EVER!!! So wish I would have taken a before and after, the difference is definitely noticeable!
",1,1,0.9949,0.488763440860215,1.0,1
208,229,Cassandra R. Kemp,"
No dryness, flaking, and peeling


I decided to try LilyAna Naturals Retinol Cream after reading many positive reviews from a variety of sources.  I have tried more expensive products with the same active ingredients but was able to achieve better results LilyAna.  It has helped to reduce my wrinkles and dark undereye circles in a short period of time.  Most importantly, I received the benefits of a prescription strength Retin-A, but without side effects like dryness, flaking, and peeling.  I highly recommend this product.
",1,1,0.9613,0.5258041958041958,1.0,1
209,230,Manuela Popescu,"
Their products are so good!


So I stumbled on this cream a few years ago and decided to try it and have actually bought (full price) this Retinol Cream multiple times since then and I Love, love, love it!  I am a two time cancer survivor and I have atopic dermatitis skin and I have to be super careful what I put on my skin. I can safely use this retinol and I love how it makes my face, neck and décolletage feel and look.  I actually love All their products and It’s the reason everyone tells me I look so much younger!! I have recommended it to everyone who asks me what I use (and no, I don’t get any kickbacks - lol) it’s just honestly good stuff.
",1,1,0.9919,0.48854166666666665,1.0,1
210,231,Maria L,"
Found my Holy Grail!


First, let me come clean...I'm a 65yr old skin care junkie, always trying the ""next best, newest"" products, often spending over $100 for that ""it"" productWell, never again! This cream is exactly as described, a luxury cream at bargain basement prices! Only using it for 3wks so far & my skin tone has evened out, zero irritation! I combine it with the Vitamin C serum & this 65yr old face is glowing!
",1,1,0.8507,0.41041666666666665,1.0,1
211,232,Ash,"
Sensitive skin review: Effective but caused breakouts!


I have sensitive, oily, acne prone, unevenly textured skin. I got this restore the texture on my cheeks. I used this for about 1 week total. 3 days in, the breakouts happened and I'm still fighting with them now. This product really started to help with my uneven textured skin, not so much wrinkles, but the old acne scarring I have and my pores. Sadly, I will have to stop using it due to the breakouts, they're BAD. This product also doesn't absorb into the skin and it made my face a tad bit oilier than how it normally feels. I would definitely recommend this to someone who's skin isn't acne prone and sensitive.
",0,0,-0.2134,0.5627777777777779,0.0,0
212,233,DMV,"
There is so much wasted plastic in the tall cap and unused space at ...


5 stars for quality of the cream but low remarks for packaging. There is so much wasted plastic in the tall cap and unused space at the bottom of the container. 1.7 oz is a tiny amount of cream for such a big container. I understand the marketing tactic to fool customers into thinking your getting a better value but it's wasteful and bad for the environment. It's too bad because many manufacturers still do this.
",0,0,-0.9517,0.37333333333333335,0.0,0
213,234,Jewel,"
Great Product But It Has Increased in Price


I've been using this for a few years now and have had several people ask me what brand of moisturizer I use. It's a great daytime moisturizer even though it does not have any SPF. Good for sensitive skin. However, in less than one year, the price has increased by $10. Why?
",1,1,0.9542,0.45238095238095244,1.0,1
214,235,Matisse F.,"
Perfect starter retinol or retinol for sensitive skin


""Sensitive"" is a really nice way to describe my moody, irritable, angry, completely unpredictable skin. Everything makes it angry, and so when I started getting fine lines around my eyes, and my skin started to get dull I was really worried about how I was going to find a retinol that my skin wouldn't immediately reject.I heard good things about this product via an youtuber I like and I gave it a try, not expecting much.TL;DR - I LOVE IT. I noticed a difference within the first two weeks with the glowy quality to my skin; fine lines less pronounced.I've strayed a couple times, just to sow my wild oats, and literally any other retinol gets the typical angry burning tantrum from my skin. Most other retinol (and skin products) give me a sunburnt feeling. So back I ran to this product, and this time I'll stay faithful ;p
",1,1,0.1613,0.6022727272727273,1.0,1
215,236,Echan,"
Super soft baby skin


I love it but I looooove the Face Cream even more and I’m on like my 10th bottle of the Face Cream. They are both great I take turns using them but my face is SO much softer after using!!! The slight scent is really nice I am super sensitive to smells and this one is just right. The cream is light and not at all greasy but leaves your skin supple and I can’t find anything that leaves your skin feeling so baby soft and not greasy and not dry, it’s perfect. You have to try it to believe it, and if you have sensitive skin like me you’ll see this is gentle and safe. I’ve used this for a long time and haven’t had any issues. I’ve also used the Vitamin C serum, I can’t tell if that’s doing anything because the creams do so much. I have sun spots they haven’t faded. My only complaint is that they don’t have a larger bottle!!!
",1,1,0.9875,0.5863354037267081,1.0,1
216,237,Amazon Customer,"
Not for me


I’m in my 40s with normal to oily skin and the occasional breakout around the start of my cycle. I do not have sensitive skin. I’ve been using another OTC retinol and wanted to try this, as the reviews were good and the price sucked me in. I used this product one time and one time only. The next morning, I washed my face with my usual cleanser and noticed red patches on my cheeks that progressed to red, irritated, textured blotches as the day went on. By the end of the day, some of the places almost looked like chemical burns. I don’t know if I’m allergic to something in this product (I’ve never experienced anything like this before), but this is not for me. My skin was clear and smooth before this. I’m so mad at myself. Lesson learned. Once my skin heals from this mess, I’ll go back to what I had been using and was working just fine for me.
",0,0,-0.8167,0.43645833333333334,0.0,0
217,238,ajp,"
This stuff is magic


I am blown away for how great this product is..truly. I started using this August 31st and my skin has made many noticeable changes.  In two weeks my skin tone has evened out and my acne scars have faded significantly. These two things I have always struggled in correcting. I've even tried curology for a long period of time and all it did was burn my extremely sensitive skin even after several months of using it. Lowkey upset I dumped so much money in that stuff when I could've been using this magic. The cream moisturizes your skin and has caused no problems such as dryness or irriation for me which happens alot with other face creams. I'd give this a try before going out and buying expensive formulas. Side note: I do use the LilyAna Vit C serum morning and night with this face cream.
",1,0,-0.088,0.6,1.0,1
218,239,Johnelle Mosley,"
I am a dark skin person, that was trying to reduce the appearance of a scar.


My skin broke out so bad with acne and it left pockmarks behind from inflamed skin. I couldn't believe this has worked for so many people. I am hurt, because now I have blemishes I can't get rid of.
",0,0,-0.908,0.4533333333333333,0.0,0
219,240,Lee Friedel,"
I Was So Surprised!!


Love, love this! I've used retinol before at a higher price and it didn't work. Tried all types of facials and so on. Nothing seemed to work.So I was skeptical that this product would work.I was so Surprised!  It works great! It didn't take long for my skin to feel fantastic! No flakes, irritation. Skin just feels so much softer and smoother.I live in the desert where the skin is always so dry. This is a lifesaver!I've paired it with their Vitamin C serum and it's a double whammy. I use it in the morning (make sure you use sunscreen after) and night. You don't have to use a lot (follow the recommendations on the jars). A little goes a long way. Skin feels so much better. I've only used a short time and it seems to get better and better.And even better - no animal testing or animal products in it. So you can feel good about using.Customer Service is fantastic too. There was a very slight problem and they took care of it right away.
",1,1,0.9908,0.5676507936507937,1.0,1
220,241,Shannon W.,"
Best face cream I've used yet!


So, I'm a chronic dry and sensitive skin sufferer and the worst place to have it - on my face. There's just no way to cover it up and not look like a scaly mess. I'm not a dedicated makeup user, just a casual BB cream user, but I'd love to have a more moisturized complexion. My skin is also really sensitive and prone to breakouts which really limited the products I felt comfortable using. This is it! This is the product that helped me with my dry/sensitive skin issues. Since I started using it my face is more moisturized and my blemishes have cleared up. I wanted to wait a reasonable amount of time before reviewing but I feel comfortable saying that this is a great, GREAT face cream.
",1,1,0.9774,0.6365327380952381,1.0,1
221,242,IslandDeb,"
Great product and excellent customer service!


I stumbled upon LilyAna Vitamin C Serum and Retinol Cream when I was about to place an order for the expensive, name brand skin care products I've used for years.  After reading all the glowing reviews from satisfied customers, I decided to give it a try.  Wow!  The welcome email from Krista at LilyAna was a great personal touch, and she responded quickly to my response.  I've been using both products for about two weeks now and I'm starting to really see results.  As my skin has aged, sun damage and hormones have caused spots and deep whiteheads that won't budge.  Those are diminishing slowly but surely and I couldn't be happier.  Even my husband commented yesterday that my skin looked great.
",1,1,0.9626,0.6274305555555556,1.0,1
222,243,V. Schaub,"
My skin looks better than it has in 20 years!


I am IN LOVE with Lilyana Naturals!! I’m using almost almost all their products. Vitamin C Face Wash and Toner for cleaning my face, Super Vitamin C Serum, Face Cream and Eye Cream during the day, and Retinol Serum, Retinol Cream and Retinol Eye Cream at night. The difference these products have made on my skin in just one short month is nothing short of miraculous. Decades old acne scars are fading, melasma from my last pregnancy two years ago is breaking up, my skin not only looks brighter and smoother, it FEELS tighter, firmer, and bouncier. I can’t say enough good things about Lilyana!
",1,1,0.9585,0.4733333333333333,1.0,1
223,244,RobinKaufman,"
Gives bags under eyes


There should be a warning that this product will give you huge bags under your eyes. I only used it on the wrinkles under my eyes and after a week or so the bags under my eyes were huge and very embarrassing. People would ask what was wrong with me? It took a few days after I stopped using to go away. Do not buy this product if you plan to use it under your eyes. No more wrinkles sure but wrinkles are better than giant bags.
",0,1,0.2943,0.6988888888888889,1.0,0
224,245,S,"
I’d give more than 5 stars if I could!


This product has completely changed my skin and my skin care routine for the best. I’ve had a lot of trouble in the past when trying Retinols with dryness and irritation, but I have not experienced anything besides for positive changes to my skin since I’ve been using this. I used to have to use salicylic acid every day or other various peels multiple times a week or I would get clogged pores all over my jaw line, but since I’ve started using this every night I have noticed that I no longer need to use my salicylic acid or any peel. I don’t get those annoying clogged pores at all anymore. This product has simplified my skincare routine and improved my results drastically. The texture and coloration of my skin has improved and I rarely get any breakouts now and I attribute it to using this product. I love it & I definitely recommend it.
",1,1,0.9734,0.4907467532467532,0.0,1
225,246,S Santiago,"
This cream DOES work !


I have purchased expensive creams before, thinking that if it’s pricey, it must work right? That’s always been my thinking, with anything I buy.  I was skeptical when I got this because of the price, but I went with the reviews and bought it.I was (and still am !) very pleased with the results!  I’m leery about recommending to friends but when I started getting compliments about how my skin looks radiant, I was encouraged!  First it was a close friend, then a family member I haven’t seen in awhile, then strangers asking me what my skin regimen is.. I told them and they said they’d try it.I am sold completely ! I have purchased this twice and almost done with my 2nd, so I will definitely buy again from Amazon !  Love it !
",1,1,0.9899,0.5076719576719576,1.0,1
