Sl No,Name,Review,Suggestion/Complaint,flair_sentiment
207,Natalie,"
Not as natural or ""organic"" as I thought!


I bought this due to the raving reviews and was super excited to try this product. I have been wanting an all-natural moisturizer without harmful things in it. I really did notice a difference in my fine lines and it does moisturize well to dry skin. However, I realized that there is Phenoxyethanol listed as an ingredient. I did some digging on the internet and typed if it was safe for the skin. Come to find out it says that it is actually very harmful and should not be absorbed through the skin. I was disappointed to find out that this ingredient was in a cream that's supposed to be NATURAL. I encourage you to read ALL of the listed ingredients before buying!!!
",0,0
208,JLS,"
Fine lines, be gone!


Over the last several years I have revamped my skincare and makeup to be as natural and organic as possible. This meant throwing out thousands of dollars worth of stuff. No joke. Since then I try only to purchase products with ingredients that individually rate no higher than a 2 in the EWG database. This product, made by a chemist (I asked), is a great way to dip your toe into the retinol pool without the harshness, price, or side effects of retin-a. I put it on every night after my vitamin c serum and wake up looking fractionally better than the day before. I've been using it for months now and overall my skin is more even toned with fewer fine lines. I study every nook and cranny on my face with a mega magnifying lighted mirror, so trust me that I know there is a difference. Not only is there retinol in there, fairly high up in the ingredients list, but there are a host of other good-for-skin ingredients, too. There is only one ingredient I'd like to see them find a way to remove, and that is Phenoxyethanol (which gets a 4 on EWG). Thankfully, it is at the very bottom of the list, but it is the reason I removed a star (with hesitation). I'm eager to try other products by this smaller producer.
",1,0
209,Amazon Customer,"
Yay for my skin!


I wish I would have taken a before and after picture so you all can see the huge difference this product has made on my face in such a short time.I am 38 and have a combination of concerns for my skin; beginning fine lines and wrinkles and hormonal acne, with overall skin blotchiness. This product helps with all of these concerns!I was initially concerned about the cream drying my skin out but it isn’t a problem at all! I do use moisturizer in the morning and every few days, I layer a thick moisturizer on top of this cream.I would say it is a mild and gentle, yet effective ease into retinol.If you’re hesitant, don’t be and give it a try!
",1,1
210,Amanda DiRienzo,"
It didn't live up to my expectations


I'm bummed this actually have me blackheads rather than took them away. It also caused more breakouts. I've struggled with acne so I know sometimes it has to get worse before it gets better so I'm going to give it a few more weeks but man,  my cheeks are speckled with blackheads. The texture hasn't improved either. I have hard little bumps and acne scars. This hasn't improved them. Some reviews said they were contacted with usage instructions after purchase. I was not. I use it at night before bed and after I wash my face in the morning. If I know I'll be in the sun I won't use it. It does a decent job of moisturizing but it doesn't hold merrit to some of hype or claims. I am desperately searching for a natural way to clear my skin.
",0,0
211,Amazon Customer,"
BE AWARE OF FAKE PRODUCT


I think I received a fake  LilyAna Naturals Retinol Cream. I know that because I have used Retinol before and with this  percentage of retinol it would tingle when you apply it on your skin . This one does nothing, feels and smells like nothing. This is not my first time receiving fake products through Amazon. I regularly use Neutrogena Retinol cream I get from Walgreens and it works wonders. The last time I bought it from Amazon because it was cheaper, I could tell it is nothing like Neutrogena mositurizer . It was fake.
",0,0
212,Collin S.,"
It's a pretty good moisturizer


I'm mid 30s, sensitive skin, acne prone, and have my fair share of crows feet and forehead lines.I've used this for a month now and I like it.I use this along with the vitamin c serum, except I normally only use one every other day  due to my skin being sensitive. Some days I have used both and no problems, but I can't go too long using both without feeling irritation. I can't confirm or deny it helps with wrinkles, I really haven't noticed any difference, but it does moisturize my skin without irritation and hopefully with prolonged use it will prevent any future wrinkles.
",1,1
213,Sara Michelotti,"
Confused by all the hoopla


Everything about this product is appealing: the packaging, ingredients, claims and reviews. It seemed like an easy and shockingly affordable win.  But after using the product for a couple of weeks, I'm genuinely mystified by the rave reviews.  Any type of face cream, regardless of it's targeted benefits, should leave your skin feeling fresh, silky and touchable.  You should literally want to molest your own face.  That is not the case.  The product actually leaves my face feeling slightly stiff and tight.  I usually follow it up with some coconut oil or  Elizabeth Arden face cream so I can smile without cracking my face.  This product may work in reducing wrinkles, but there is no joy or satisfaction with using the product.
",0,0
214,Rose,"
1 week and redness in skin lighter


Product soaks into skin, moisturizes,non greasy and in one week I’ve noticed redness and dark spots much lighter. As for wrinkles I haven’t noticed a big change yet but it’s only been a week. I have purchased a second bottle to give the product a fair chance on wrinkles I’m sure they will take longer to address. I gave it 4 stars because until I see more results with time I can’t say it does everything thing it’s promised to do.I haven’t always taken care of my skin as I should to much sun because I love the outdoors.
",1,0
215,Amy Matney,"
Works well


Ok. So I’m going to write the best review I can based on my experience with this after using it for a few weeks. I should mention that I use this in combination with other facial products but added this to my routine in an attempt to help with cystic acne. I didn’t notice much of a smelll with it, which was fine with me. It’s oretty thick and a little goes a long way. Although it’s thick it seems to rub in quickly and doesn’t leave my face feeling greasy. The bottle suggests to use it every day unless you experience too much flaking or dryness. Well.... I can’t even use it every day. I used it for a few days straight and even with my other moisturizing day and night face creams, I still got dry, flaky skin. I could even tell where he cram hadn’t gone around my eyes due to the line of rough skin above my cheeks. I do use it about twice a week with no significant problems. My skin does get a bit flaky the day after use but not too bad (this is what retinol cream is supposed to do) and my skin doesn’t feel dry when used this way. It defiantly does what it’s supposed to. But if you have sensitive skin like my I’d take it easy on the application. I will but this again and recommend it to others, just be careful if you have very sensitive skin because it will dry it out and cause flaking even if you moisturize twice per day like I do.
",1,0
216,Road,"
Great product, great customer service, hopefully great results!


Been using this about three weeks, hoping to combat some age spots and sun damage from spending so much time driving and being outside, especially in the desert SW.Though I can't say with any certainty it is doing much yet, I sure like the way it rubs in and that a little seems to go a long way. The most impressive thing so far is that I was sent a great ""how to use"" page of helpful info ahead of delivery, along with a great follow-up or two after delivery. Nice touch, and goes a hell of a long way in making a favorable impression.I use it religiously last thing at night on a freshly rinsed face and first thing in the morning. Just a pea-sized dollop over forehead, each temple, and eyes. Followed before I go out for the day by Healthy Defense SPF30, as this Retinol Cream can increase sensitivity to the sun. Something I wouldn't have known without the great info sent. Have experienced no tingling, peeling, or other problems upon initial or continued use.At this point I think I'll document with images maybe once a week with the same lighting set-up, to better track progress, and will gladly update this review if I have anything additional to report.
",1,1
217,E. A.,"
Great for sensitive skin!


I am really impressed with this product. My skin gets irritated by nearly everything and I’ve tried several retinol products in the past that caused redness, peeling, and irritation so I was thrilled that this one did its job without any of those side effects! I’m not sure why it hasn’t caused any irritation honestly because 2.5% is a pretty high amount of retinol compared to other over the counter products, but it could be the super hydration this stuff gives. It’s definitely like a night cream, but it hasn’t caused any acne or clogged pores for me even though I have large pores and oily skin. It’s improved my skin’s texture, glow, and blackheads in a matter of days and for a seriously reasonable price tag. I didn’t think I could tolerate retinol products at all and now I am so glad I took a chance on this one! Just make sure to use it only at night and wear SPF during the day! Your new baby skin will need the protection!
",1,1
218,Amazon Customer,"
Good for acne scars and sensitive skin.


This has worked great on my acne scars. I have pretty significant scar tissue around my jaw because, even though everyone told me not to, I popped all of my pimples. Good news is they’re going away pretty quickly. There’s some other ingredients like willow bark which has salicylic acid and geranium oil which is good for facial aging. I had a stint trying to make my own skincare and I always prefer products where the first ingredient is aloe. It’s a pretty well rounded and effective product. I’ve had a little bit of sensitivity and redness but it’s been pretty minor and I think it’s just part of the process with retinols.
",1,1
219,Crystal Chavez,"
Simple for someone who doesn't have a skincare routine


I recently noticed my face feeling more dry than usual, and I wanted to find something that could be a simple solution. I don't really have a skincare routine, but I don't really have too many problems with my skin. Since lockdown, I also don't wear a lot of makeup, so I felt like I should take this opportunity to start some sort of routine. This cream feels really nice and there is a light scent that is pleasant. I put this on at night before bed and wake up to soft skin. Looking in the mirror, I don't notice any big difference overall since using it for over a month, but I actually notice the difference in pictures. Overall, my skin has gotten a little more even, my freckles aren't as prominent, and it's helped with my genetically dark eye circles.
",1,1
220,Summer,"
Spend the damn $20 and give yourself this gift


I have tried so many things Both affordable and expensive. I have taken oral anabiotic’s and have switched birth-controls back-and-forth. I suffer with acne as an adult that I never had when I was a young lady. Although I do look young thank you very much. I have four kiddos and in my 30s. I was really skeptical to buy this because I have spent so much money on different products but I went ahead and I bought it anyway. I said worst case scenario I will be in that koles return line in a jiffy. It Has been three weeks since I bought it and initially I noticed that I had more bumps. And here we are at week three and I have noticed NO NEW PIMPLES I still have scarring from my Old pimples ( don’t judge) Anyway do yourself a favor and buy it ! so creeping into the end of my third week into my fourth I would say that this last about a month I’m about to buy my second bottle I put it on in the morning and before bed. GOOD LUCK
",1,0
221,Evanescent_Moon,"
Helps acne, but the bottle is misleading a bit.


I’ve bought two bottles of the retinol cream as it’s helped my breakouts amazingly. It makes my skin soft and makes my acne smaller or even less painful. The people who sell this are amazing in regards to responses. If you have an issue, they take it seriously and do what it takes to make it right.However, my ONLY complaint is that the bottle isn’t actually a full bottle of retinol cream. It’s the top where the nozzle is. Take it off and you’ll see it’s just a little bit (as another customer pointed out). I love this cream, it’s amazing, but I feel a little bit disappointed that they make this in such a big bottle for only a tiny bit of product. If they’d change that I think a lot of people would be happier with their purchase ya know?Again, not trying to bash the sellers as the products are fantastic, but maybe just changing the bottle to something else to make it more of a happy purchase for customers would be better then feeling a bit mislead on the bottle and only getting a little bit for 17.
",0,0
222,A.T.,"
The BEST product for sensitive or acne prone skin.


I have been buying this product for at least a year now. I wanted to wait to write a review until I had used the product for a long time since, as I am sure you have found, some products work in the beginning but then begin to cause problems. I am in my mid-30s but still get occasional acne and hormonal breakouts. I have found all other Retinol creams to burn my skin, dry it out, and cause more acne to appear...even if I cut back my usage to a couple times a week (which defeats the purpose). This cream is gentle and luxurious. I use it every single night on my face and neck. I have had no breakouts and it has helped my skin to stay soft and helps to minimize my acne scaring over time. I get hyper-pigmentation which can take years to fade but this cream is very gentle and has helped to even out my skin. It has also worked great through the winter months here in the ""great white North"" as we are running furnaces and such constantly. It is NOT greasy, which I love. I like the pump canister that it comes in and I AM able to get the top off and scrape out every last bit which I like. The GIANT lid does make the product look larger than it is; but that is a minor observation. It is pricey but worth it. I have had times where I have used way too many different products on my face which only makes breakouts worse. I now just wash my face with pure organic honey at night and then put this cream on and then in the morning I wash with my honey again and put on a Korean sunscreen...and that is my entire routine. This product truly has been wonderful. This is coming from a person who cannot even use soap, lotions, or oils on my face without breaking out. I can use this every single day and my skin only gets better, little by little. I can even put this right up around my eyes and on my eyelids with zero sensitivity. Please do not EVER stop making this product and THANK YOU! FIVE STARS!!!
",1,1
223,L.T.'s,"
I want to glow beautiful everyday!


I use this wonderful moisturizer for sensitive skin on my face before bed and the next morning I awaken with soft and plump skin that makes me look like I am glowing. Because the product does contain Retinol, be very careful about being in the sun 🌞 while using it regularly.This small company has wonderful customer service and has a algorithm in place to detect if a customer has purchased their product before on another website. This allows them to make your one on one with them a caring and personable experience! I will purchase their products again, because what woman doesn't like glowing skin with a personal touch! ?
",1,1
224,Amazon Customer,"
I was suspect at first...


I didn't think this would work as well as it does! The first week using this i wasn't sold but i continued to use twice a day, and OMG my skin is damn near flawless! I have relativity good skins but from time to time i will get a deep deep zit that will take 3 weeks to come to a head. I have fair skin and even if i do not pick at my face i will be left with a red/brown scar that takes 8 plus months to fade. I want to find a before picture to show you the amazing-ness this product has down for my scars, they are barely visible now! i never wear makeup! it also have evened out my entire face so no more rosey cheeks! I will purchase as soon at i run out, unfortunately it is a pump bottle so i will not know i am out of product this it stops pumping the product out. It has a funky smell but i am not smell sensitive and i love the results, one it soaks into my face i add my usual moisturizer which neutralizes the smell
",1,0
225,Mara,"
Buy it!!!


I use this ONLY AT NIGHT before I go to sleep with their vitamin-C serum and omg. My acne has completely gone away withing 10 days and my pores have shrunk a little too! 😱😱 im shook. Will definitely buy again!!!Ps. I emphasize ""at night"" because retinol is super bad gor your skin ig you wear it out in the sun. It becomes carcinogenic and will vurn your skin! So only wear at night and wash your face in yhe morning!
",1,1
226,Rachel,"
Not vegan


Bought this assuming it was vegan like their other creams, only to find out that it has propolis extract (from bees) in it.  I LOVE Lilyana Naturals, and wish they would take this ingredient out of their retinol product so vegans can reap the benefits of what it has to offer!
",0,0
227,K. Stewart,"
I was skeptical, but I really like this cream.


I ordered this product after seeing it mentioned in some ""Amazon cult favorites"" article.  Used it for a couple of days, said ""eh,"" and put it in a drawer.  I recently got it back out again, and after consistently using it for a couple of weeks, I can say that this is the first product I've used that has actually shown me visible results.  I have large pores and uneven skin tone, and both have a better appearance after using this product nightly.  Other products I had used to address those problems  left me with skin that was somehow flaky and oily at the same time.  I'm very happy with what I see so far with this LilyAna retinol cream moisturizer, and I plan to reorder when I'm out.
",1,1
228,MF,"
LOVE LOVE LOVE


My 10 year old son gave me the best compliment :) said I look like a teenager OK that is a far stretch but hey I will take it!! one thing you can trust is what comes out of a kids mouth! but really I can't say enough about the whole line I am using the C serum and Eye Cream in the morning and the Retinal at night my face feels so soft and the Retinal was so easy on my face I never got red or peeled ! a tiny bit lighter on my sun spot but I have don't even think I have used this a whole month! The smell is very light to none on all of the products I have, that is a huge deal to me!! I have spent as much at $200 for 1 serum at the mall and this is just as good if not better, that one didn't change the spot so in that way better! ;) I just can't get over how much smoother my face is!!! I am touching it constantly and I know that is a no no but it hasn't felt this fab in a long time!!! I will be buying from this company again and for as long as I can remember I don't buy the same thing 2 times in a row EVER!!! So wish I would have taken a before and after, the difference is definitely noticeable!
",1,1
229,Cassandra R. Kemp,"
No dryness, flaking, and peeling


I decided to try LilyAna Naturals Retinol Cream after reading many positive reviews from a variety of sources.  I have tried more expensive products with the same active ingredients but was able to achieve better results LilyAna.  It has helped to reduce my wrinkles and dark undereye circles in a short period of time.  Most importantly, I received the benefits of a prescription strength Retin-A, but without side effects like dryness, flaking, and peeling.  I highly recommend this product.
",1,1
230,Manuela Popescu,"
Their products are so good!


So I stumbled on this cream a few years ago and decided to try it and have actually bought (full price) this Retinol Cream multiple times since then and I Love, love, love it!  I am a two time cancer survivor and I have atopic dermatitis skin and I have to be super careful what I put on my skin. I can safely use this retinol and I love how it makes my face, neck and décolletage feel and look.  I actually love All their products and It’s the reason everyone tells me I look so much younger!! I have recommended it to everyone who asks me what I use (and no, I don’t get any kickbacks - lol) it’s just honestly good stuff.
",1,1
231,Maria L,"
Found my Holy Grail!


First, let me come clean...I'm a 65yr old skin care junkie, always trying the ""next best, newest"" products, often spending over $100 for that ""it"" productWell, never again! This cream is exactly as described, a luxury cream at bargain basement prices! Only using it for 3wks so far & my skin tone has evened out, zero irritation! I combine it with the Vitamin C serum & this 65yr old face is glowing!
",1,1
232,Ash,"
Sensitive skin review: Effective but caused breakouts!


I have sensitive, oily, acne prone, unevenly textured skin. I got this restore the texture on my cheeks. I used this for about 1 week total. 3 days in, the breakouts happened and I'm still fighting with them now. This product really started to help with my uneven textured skin, not so much wrinkles, but the old acne scarring I have and my pores. Sadly, I will have to stop using it due to the breakouts, they're BAD. This product also doesn't absorb into the skin and it made my face a tad bit oilier than how it normally feels. I would definitely recommend this to someone who's skin isn't acne prone and sensitive.
",0,0
233,DMV,"
There is so much wasted plastic in the tall cap and unused space at ...


5 stars for quality of the cream but low remarks for packaging. There is so much wasted plastic in the tall cap and unused space at the bottom of the container. 1.7 oz is a tiny amount of cream for such a big container. I understand the marketing tactic to fool customers into thinking your getting a better value but it's wasteful and bad for the environment. It's too bad because many manufacturers still do this.
",0,0
234,Jewel,"
Great Product But It Has Increased in Price


I've been using this for a few years now and have had several people ask me what brand of moisturizer I use. It's a great daytime moisturizer even though it does not have any SPF. Good for sensitive skin. However, in less than one year, the price has increased by $10. Why?
",1,1
235,Matisse F.,"
Perfect starter retinol or retinol for sensitive skin


""Sensitive"" is a really nice way to describe my moody, irritable, angry, completely unpredictable skin. Everything makes it angry, and so when I started getting fine lines around my eyes, and my skin started to get dull I was really worried about how I was going to find a retinol that my skin wouldn't immediately reject.I heard good things about this product via an youtuber I like and I gave it a try, not expecting much.TL;DR - I LOVE IT. I noticed a difference within the first two weeks with the glowy quality to my skin; fine lines less pronounced.I've strayed a couple times, just to sow my wild oats, and literally any other retinol gets the typical angry burning tantrum from my skin. Most other retinol (and skin products) give me a sunburnt feeling. So back I ran to this product, and this time I'll stay faithful ;p
",1,1
236,Echan,"
Super soft baby skin


I love it but I looooove the Face Cream even more and I’m on like my 10th bottle of the Face Cream. They are both great I take turns using them but my face is SO much softer after using!!! The slight scent is really nice I am super sensitive to smells and this one is just right. The cream is light and not at all greasy but leaves your skin supple and I can’t find anything that leaves your skin feeling so baby soft and not greasy and not dry, it’s perfect. You have to try it to believe it, and if you have sensitive skin like me you’ll see this is gentle and safe. I’ve used this for a long time and haven’t had any issues. I’ve also used the Vitamin C serum, I can’t tell if that’s doing anything because the creams do so much. I have sun spots they haven’t faded. My only complaint is that they don’t have a larger bottle!!!
",1,1
237,Amazon Customer,"
Not for me


I’m in my 40s with normal to oily skin and the occasional breakout around the start of my cycle. I do not have sensitive skin. I’ve been using another OTC retinol and wanted to try this, as the reviews were good and the price sucked me in. I used this product one time and one time only. The next morning, I washed my face with my usual cleanser and noticed red patches on my cheeks that progressed to red, irritated, textured blotches as the day went on. By the end of the day, some of the places almost looked like chemical burns. I don’t know if I’m allergic to something in this product (I’ve never experienced anything like this before), but this is not for me. My skin was clear and smooth before this. I’m so mad at myself. Lesson learned. Once my skin heals from this mess, I’ll go back to what I had been using and was working just fine for me.
",0,0
238,ajp,"
This stuff is magic


I am blown away for how great this product is..truly. I started using this August 31st and my skin has made many noticeable changes.  In two weeks my skin tone has evened out and my acne scars have faded significantly. These two things I have always struggled in correcting. I've even tried curology for a long period of time and all it did was burn my extremely sensitive skin even after several months of using it. Lowkey upset I dumped so much money in that stuff when I could've been using this magic. The cream moisturizes your skin and has caused no problems such as dryness or irriation for me which happens alot with other face creams. I'd give this a try before going out and buying expensive formulas. Side note: I do use the LilyAna Vit C serum morning and night with this face cream.
",1,1
239,Johnelle Mosley,"
I am a dark skin person, that was trying to reduce the appearance of a scar.


My skin broke out so bad with acne and it left pockmarks behind from inflamed skin. I couldn't believe this has worked for so many people. I am hurt, because now I have blemishes I can't get rid of.
",0,0
240,Lee Friedel,"
I Was So Surprised!!


Love, love this! I've used retinol before at a higher price and it didn't work. Tried all types of facials and so on. Nothing seemed to work.So I was skeptical that this product would work.I was so Surprised!  It works great! It didn't take long for my skin to feel fantastic! No flakes, irritation. Skin just feels so much softer and smoother.I live in the desert where the skin is always so dry. This is a lifesaver!I've paired it with their Vitamin C serum and it's a double whammy. I use it in the morning (make sure you use sunscreen after) and night. You don't have to use a lot (follow the recommendations on the jars). A little goes a long way. Skin feels so much better. I've only used a short time and it seems to get better and better.And even better - no animal testing or animal products in it. So you can feel good about using.Customer Service is fantastic too. There was a very slight problem and they took care of it right away.
",1,1
241,Shannon W.,"
Best face cream I've used yet!


So, I'm a chronic dry and sensitive skin sufferer and the worst place to have it - on my face. There's just no way to cover it up and not look like a scaly mess. I'm not a dedicated makeup user, just a casual BB cream user, but I'd love to have a more moisturized complexion. My skin is also really sensitive and prone to breakouts which really limited the products I felt comfortable using. This is it! This is the product that helped me with my dry/sensitive skin issues. Since I started using it my face is more moisturized and my blemishes have cleared up. I wanted to wait a reasonable amount of time before reviewing but I feel comfortable saying that this is a great, GREAT face cream.
",1,1
242,IslandDeb,"
Great product and excellent customer service!


I stumbled upon LilyAna Vitamin C Serum and Retinol Cream when I was about to place an order for the expensive, name brand skin care products I've used for years.  After reading all the glowing reviews from satisfied customers, I decided to give it a try.  Wow!  The welcome email from Krista at LilyAna was a great personal touch, and she responded quickly to my response.  I've been using both products for about two weeks now and I'm starting to really see results.  As my skin has aged, sun damage and hormones have caused spots and deep whiteheads that won't budge.  Those are diminishing slowly but surely and I couldn't be happier.  Even my husband commented yesterday that my skin looked great.
",1,1
243,V. Schaub,"
My skin looks better than it has in 20 years!


I am IN LOVE with Lilyana Naturals!! I’m using almost almost all their products. Vitamin C Face Wash and Toner for cleaning my face, Super Vitamin C Serum, Face Cream and Eye Cream during the day, and Retinol Serum, Retinol Cream and Retinol Eye Cream at night. The difference these products have made on my skin in just one short month is nothing short of miraculous. Decades old acne scars are fading, melasma from my last pregnancy two years ago is breaking up, my skin not only looks brighter and smoother, it FEELS tighter, firmer, and bouncier. I can’t say enough good things about Lilyana!
",1,1
244,RobinKaufman,"
Gives bags under eyes


There should be a warning that this product will give you huge bags under your eyes. I only used it on the wrinkles under my eyes and after a week or so the bags under my eyes were huge and very embarrassing. People would ask what was wrong with me? It took a few days after I stopped using to go away. Do not buy this product if you plan to use it under your eyes. No more wrinkles sure but wrinkles are better than giant bags.
",0,0
245,S,"
I’d give more than 5 stars if I could!


This product has completely changed my skin and my skin care routine for the best. I’ve had a lot of trouble in the past when trying Retinols with dryness and irritation, but I have not experienced anything besides for positive changes to my skin since I’ve been using this. I used to have to use salicylic acid every day or other various peels multiple times a week or I would get clogged pores all over my jaw line, but since I’ve started using this every night I have noticed that I no longer need to use my salicylic acid or any peel. I don’t get those annoying clogged pores at all anymore. This product has simplified my skincare routine and improved my results drastically. The texture and coloration of my skin has improved and I rarely get any breakouts now and I attribute it to using this product. I love it & I definitely recommend it.
",1,1
246,S Santiago,"
This cream DOES work !


I have purchased expensive creams before, thinking that if it’s pricey, it must work right? That’s always been my thinking, with anything I buy.  I was skeptical when I got this because of the price, but I went with the reviews and bought it.I was (and still am !) very pleased with the results!  I’m leery about recommending to friends but when I started getting compliments about how my skin looks radiant, I was encouraged!  First it was a close friend, then a family member I haven’t seen in awhile, then strangers asking me what my skin regimen is.. I told them and they said they’d try it.I am sold completely ! I have purchased this twice and almost done with my 2nd, so I will definitely buy again from Amazon !  Love it !
",1,1
247,Amanda,"
Amazing and Affordable


I will start by saying LOVE this retinol cream.My skin type: combination(oily and dry) and slightly sensitive. I’m 27, and seeing premature forehead wrinkles and uneven texture.I only use this retinol cream at night, as retinol can make skin extra sensitive to sun(SO USE SPF!). I only use this product about twice a week, a couple days spaced out due to the fact that my skin in a little sensitive. I noticed when I used this a few nights in a row, my skin would be irritated in some spots. This is a non-scented, creamy formula but not oily at all. Because it’s only 1oz, And I want my product to go a long way, I use an unscented face moisturizer, like cetaphil, before applying this product. It helps the retinol cream move around a little easier so you don’t have to use so much of it. This product helps my skin’s texture look and feel smooth overnight. Retinol is an exfoliant so I’m sure that’s what’s responsible for that smooth texture. I’m giving it a 5 star rating as I recommend it to people that want anti-aging benefits in their skincare routine as well as those that have signs of aging already.
",1,1
248,Margaret,"
Radiant, Younger Skin


I’ve wanted to purchase a product with retinol and I tend to try to use more natural ingredient products. I decided to give Lilyana Naturals Retinol a try. Just after about a week of using it my skin is looking more radiant, clearer and younger. I’ve got combination skin still at 50 and sometimes may break out here and there too. This product has been great all over my face whether I’m using it on my acne, oily areas, dry areas or sunspots. It also gives me a more even tone and helps my skin glow! I’ve had no bad reactions in anyway to it either. I highly recommend giving this Retinol cream a try!
",1,1
249,Hoda Awad,"
BEST acne product


I have tried every possible product for acne. From drug store products to dermatologists. In my 10 years of fighting acne, this has been the best product I have ever bought - and all acne scars have faded dramatically. I use African Black Soap every morning and night. I only use the Retinol Cream at night because it is drying. In the morning I wash my face then use Rosehip Seed Oil and a moisturizer. At night, I wash and then apply a Vitamin C serum I bought at a local store, wait a couple of minutes then apply the Retinol Cream. My face has cleared up dramatically. When you first use the cream your face will definitely break out a bit, but that is a sign of purging. After that, it will all dry up quickly. I recommend this product to everyone and anyone!
",1,1
250,Lacey,"
Great for my red scared, acne prone skin!


I bought my first bottle of LilyAna Naturals Retinol Cream in December 2017 and my bottle is almost out. I use it once a day (in the mornings with an SPF lotion/primer). A little goes a long way. I waited until I used the product for a while before writing this review as I'm pretty sceptical of new products, especially on my face, and from Amazon (sorry Amazon!). I do have acne prone skin so of course as soon as I changed my face routine, I started to see small break outs (this happens every time I change my facial products, but after a few weeks my skin will clear up if it's a good quality product). After using this cream for a little over 3 months I can say that I have noticed my red acne scars have faded, not a whole lot, but I can see a small difference. The cream is not thin and watery but not too thick either. It feels amazing and makes my face feel really silky. I have oily skin but this does not make my skin any more oily than it normally is. It doesn't dry my skin out around my eyes like other brands I have used. It really is a good quality product and I will be ordering my second bottle today. Glad I took a chance on this brand!
",1,1
251,Jackie Shinn,"
Natural Retinol Cream


This 2.5% retinol cream from natural beauty company LilyAna has a very smooth texture and is formulated with other great ingredients like hyaluronic, E, B5, shea butter and green tea. I have combination skin and it soaks in really nice without leaving a greasy feel.  My skin feels soft and did not dry me out at all after using overnight like some retinol products. I would highly recommend this to anyone looking for an anti aging routine on an affordable budget.
",1,1
252,Emily O,"
You can’t go wrong with this


I’ve been using this cream for a little over a year now and I am so pleased with it. I am honestly shocked and so happy that a cream this inexpensive works so well. I bought it just to address the dryness and dullness starting to show up in my mid-40’s skin,  but it has improved issues I didn’t even think about, such as my dark spots. My face in the wintertime is so incredibly dry that I have had an extremely difficult time finding something that actually penetrated the dryness instead of making my skin greasy.  I found one product that worked but the price rose to over $200 a tube so I started looking for something else. I wanted something natural because my eyes are very sensitive and EVERYTHING makes them burn. This cream is awesome. No smells, very gentle, and it WORKS.
",1,1
253,AB,"
Non drying and works!


It looks like most people who are buying this cream are buying it either to remedy aging/dry skin or related to acne issues . I am of the first type. I have fair, combination skin and I'm early 40s. My primary goal was to help with some of the sunspots that had developed on my skin, particularly on the side of my face. My skin tends to get on the dry side especially in winter so I was looking for something that had retinol and wouldn't be as drying as some of serums out there. I have been really pleased with this cream. It has definitely reduced my sunspots and my skin is all one tone now. I do think it has assisted with some of the wrinkles around my eyes as well. I didn't have any acne issues before and I have not developed any from this  cream. I have bought this a couple of times now and I will continue to do so.
",1,1
254,J. Tuttle,"
I'm IN LOVE with this product!


I have been using OBAGI for almost a year now and its been brutal to my face! I was constantly shedding. No seriously, I felt like a fricking lizard. Anyway, I was checking products out online (Because I couldn't take it anymore!) and noticed that LyliAna had some serious ratings and was organic! And, Okay, I'm not going to lie, I was excited about the price because I've been paying more than I care to on stuff that isn't very nice to my face!I literally have a butt ton of product under my sink from Oil of Old Lady's Regenerist, to Cindy Crawford's waste of money, to my last investment in OBAGI (Some plastic surgeon in Atlanta recommended it.) that is all most likely going to end up in the trash because I am 100% IN LOVE with this product!!!! I have oily T-zone acne prone skin and this product feels so light and flawless. I'm no longer red and peeling! No more rashes and bumps! I'm using the retinol and the face cream now. I'm definitely going to order the eye cream and whatever else they have in the near future!
",1,1
255,ggsnowwhite,"
Best thing I’ve tried in a long time!


I am 44 and have fine lines and melasma which covers my cheeks, a few spots around my mouth and patches on my forehead. This product has made my skin so smooth visibly but also to the touch. My foundation glides onto my face. It has also broken up my melasma and lightened it a bit, which is more than I can say about a myriad of other products I have tried.I must say, however, that I returned the first bottle because the lotion had a horrible fishy smell. The second one was fine. Also, with retinols in general, your skin will looks worse before it gets better. Then about three weeks in, iI started to see improvement.  I have also been using the Kiehl’s scrub every other day which I think has helped make this product work better. Highly recommend it and you can’t best the price!
",1,1
256,Laurie A. Treacher,"
Good product, I really like it


I've been using it twice a day for two weeks. Too early to really tell if it will make a significant improvement to my age spots. I can say I'm not at all sensitive to it. The moisturizing effect is just right. It's very dense, the tiniest amount is quite adequate. I am not at all the type who spends big money on creams. I've tried a few and wasn't impressed enough to buy them again. I do think this cream is gradually evening out my skin tone and I'm encouraged enough to be diligent about following the directions. I wear O'Farrell cowgirl hats all the time now to 1. Not deal with my hair and 2. Keep the sun off my face without sunscreen. The jar only keeps fresh for a month I think, but I like it and will reorder again. I do not have dry skin, so it doesn't irritate my face. I use any extra on the back of my hands. I will be patient... give it six months because it's so easy to apply and I am a little optimistic that it will be effective over time.
",1,1
257,Brian J Aldridge,"
Smells like fish


It seems like the product is working well on my skin but it has a terribly strong fish smell for about 15 minutes after application. I normally use a disposable cleansing wipe to clean my face before applying this moisturizer. I tried using just soap and water and it seemed like the fish smell was much less. I wonder if some ingredient in the cleansing wipe is reacting with this moisturizer to bring out the strong unpleasant smell.
",0,0
