,Unnamed: 0,Name,Review,Suggestion/Complaint
95,95,Biggles,"
Very comfortable after a while


When first using the shape is not immediately comfortable.  However, after some use it seems to improve greatly, and is very helpful in my case due to a semi-dead foot and bad sciatica.  This is my second pair, and I wouldn't be without them.
",1.0
96,96,Amalie,"
Best summer sandal!


I have some other Birkenstock sandals (black patent ones) and decided I needed some more neutrally colored sandals for the summer. Arrived shortly after ordered, in perfect condition, and are just as they are in the picture :) Suuuuper comfortable (I always get the slim version) and can be worn on day one without having to break them in beforehand. Very lovely in the Stone Nubuk as well. Very happy to have added these to my shoe collection.
",1.0
97,97,Andrew,"
Very unhappy with the product/seller


I purchased these just over 4 months ago. Fabulous sandals. However they have both come away from the buckle side. So I contacted the seller, to which they asked for pictures of the product. I happily sent good evidence pictures. Then I was asked to send product back. I am afraid after 4 months a simple replacement would have settled my dispute. I would not by these sandals as I think it is a manufacturing fault.
",0.0
98,98,anniek,"
Glad I tried them.


I actually bought two pairs, one for myself and one for my husband. His were size 9 - he is a size 9 and the fit was fine; mine were size 5 - I am a size 5.5 but found the size 5 perfect. Bit weird when you first put them on, you realise your feet need 'reshaping' but after a couple of 'wears' they are so, so comfortable, have been wearing them inside the house as well as going out in them - perfect for driving in.
",1.0
99,99,Andy,"
Buckle has come loose and I have no ability to return it on here


Why cant I contact the seller after only having this item two months and its fualty?
",0.0
100,100,glamagyal,"
Great sandals


Can't go wrong with these lovely Birkenstocks. They fit true to size. I'm a size 5 and the fit is neither wide nor narrow, it's just right with enough room to manoeuvre. Lovely colours shine through the black snakeskin effect in a kind of hologram effect. Very nice, I certainly recommend these to you if you love this style, which in my opinion is the best style.( Arizona)
",1.0
101,101,WelshSteve,"
Critical sizing


Slightly complicated review. I didn’t realise these weren’t leather, and narrow fit, till they arrived. Fortunately the box had a size guide inside the lid, and I needed a normal width and a half size smaller. This supplier didn’t do my size, but another did.
",0.0
102,102,graham gibson,"
Well made and reasonable price.


Bought for me as a gift recently, first impressions were that they were sturdy and well constructed.If I had chosen similar I would have selected leather uppers.Unable to comment on wear and longevity as only had them a couple of weeks, although having had this type of footwear before the sole tends to crack across the ball of the foot.Inner sole contours take a little adjusting to,In conclusion they appear well made,fairly priced and with the usual"" bedding in"", I am sure will provide a comfortable leisure shoe.
",1.0
103,103,Scott C,"
My partner calls them Jesus sandals, so be prepared for some ridicule.


Takes a while to wear in. Was expecting them to be much more comfortable as I’d heard Birkenstock’s were the most comfortable shoes a few of my friends had ever owned. I’m not convinced yet.
",0.0
104,104,J. Golubcov,"
Makes a difference to a man's walk ;)


I do love these, but the size that I bought was slightly larger then I needed.I buy my shoes 1/2 size larger (my feet are 42 but I buy shoes 43).Now that is a good idea with shoes (because of socks and other things).But when buying sandals it's not a such a god idea ;)I would suggest you buy the size of your foot - and not the size of your shoes!
",1.0
105,105,Iver k,"
Good


Overall good, not quite as good as I’d expected. The quality is average but I don’t think they’re genuine brand.
",1.0
106,106,Squidge,"
... send the nines back last year as they were like barges! He ordered a slim fit 7 half ...


My hubby is normally a nine but had to send  the nines back last year as they were like barges! He ordered a slim fit  7 half  & they fitted him  fine. The fit with birkenstocks are trial & error really ,unless you've had them before & know your size & width, but once you've got that sorted you never want to take them off again!
",0.0
107,107,Amazon Customer,"
Lovely colour


I love the colour which goes well with jeans and they are very comfortable. I am a little surprised that after a couple of months the heels are already wearing down.
",1.0
108,108,Pen Name,"
I'm pleased to say that was a wise decision


After reading many previous reviews I was more than a little concerned over the sizing issues people seem to have with these sandals. I am a UK 9 on every shoe I have ever tried but decided to take the advice of the majority and order these sandals in a size 8. I'm pleased to say that was a wise decision, they fit perfectly and are immediately comfortable. Bargain price from Amazon, very happy with my new Birkenstocks.
",1.0
109,109,Mrs E H Sloan,"
WIDTH SIZING NOT CLEAR ENOUGH


Good quality and value for money but I found the sizing very narrow. I feel the description was not clear as Birkenstocks are sized for width with an outlined footprint symbol for wide (normal) fit and a solid coloured in footprint symbol for narrow (slim) fit!!! I was disappointed with the sizing description but didn't return sandals as the price has increased now so I gave them to my daughter,She is happy!!!
",0.0
110,110,YL,"
Great fit, very comfy


They are very comfortable, more so than the 'Sparta' style, my foot is rather wide so I was surprised that the slim fit was ok. I suffer with plantar fascitis so have to take care of my feet and look for shoes/sandals/ flip flops with arch support. Birkenstock are great and not only they fit the bill but also have made a recent come back as a fashion accessory on a catwalk!
",1.0
111,111,fafafa,"
the quality of birkenstock


the leather was a bit ""scratched"" but just because i bought them from the warehouse deals i suppose.they came up a bit lighter than i have seen them in the shops and although supposed to be a tight fit, the smallest hole for the buckles is exactly my size, so a bit large
",1.0
112,112,Elizabeth S,"
Great but more beige than white


Great Birkenstocks - only thing is they're not white, they're definitely more of a natural/beige.  Doesn't matter to me but if you're bothered, go for the white white rather than pearly ""white"".  Otherwise they're super comfortable and look like they'll last forever, exactly like all Birkenstocks
",1.0
113,113,Julie,"
good quality


I bought these for my husband .This is the second pair he has had and they have lasted well he practically lives inthem in the summer .
",1.0
114,114,Bobtedd-0811,"
Great sandals but sizing is completely wrong


Nice product, well made and comfortable.However, be aware of sizing, as this is too large by several sizes. I usually wear 41.5/42 EU size, and the proper fit for the Birkenstock sandals were size 40...Therefore my recommendation would be to buy 2 sizes smaller than usual.
",0.0
115,115,A. C. Mochrie,"
Size Matters


Well I just wanted to add my voice to the reviewers here talking about getting the size right on your Birkenstocks. I'd ordered a pair from another retailer in my usual size - they were huge, it was like wearing flippers. I'm normally a size 9 to 9.5, so having the read the reviews on here decided to order UK size 8. These fit very well and are good and comfy. So be wary of the size, and order accordingly!
",1.0
116,116,Emily,"
Comfortable


Good fit, great style and very comfortable. Got these for a 2 week holiday abroad where I would be walking a lot and these were perfect. After the first day I had a blister and my feet were a little sore but I knew that was the shoe adjusting to the shape of my foot so don't give up after that. A couple of days later it was like popping slippers on to walk round in
",1.0
117,117,Linds29,"
What can I say


Super fast delivery item as described by the seller HIGHLY RECOMMENDED THEY ARE BRILLIANT AND LAST FOR YEARS, THE MOST COMFORTABLE SANDALS FOR MEN.
",1.0
118,118,Mrs S R Mead,"
I chose half a size smaller than usual for a perfect fit.


Glad I guessed at a 5.5 rather than my normal 6 as I had been warned about the sizing by a friend. Perfect fit, immediate delivery, well packaged. Very comfortable and good looking. I hope they will last a good few years.
",1.0
119,119,Chrissy,"
Fits like a glove


I have problem feet and was recommended by my podiatrist. They are just so comfortable I have never had them off my feet. I have had no swollen ankles like I normally have. I have only worn them for 5 days and find them magic
",1.0
120,120,The Jock,"
Birkenstock Arizona


Prompt, efficient service......replaced an old pair of Arizona’s, which were several years old......perfect fit and very good value for money.
",1.0
121,121,Laisilie,"
So Comfortable


I think these sandals are the most comfortable I have ever tried. They are a good fit with ample space for adjustment.
",1.0
122,122,Amazon Customer,"
Comfort, support, posture and look great.


Soooooo comfortable. I need specialist footwear due to an unaligned pelvis and fused hip bone. I could live in these.
",1.0
123,123,michael5,"
Excellent product highly recommended


Bought them for my wife an she loves them, this is her second pair an she got great use out of the first pair. They are comfortable very easy on the feet an robust.
",1.0
124,124,ChocoMott,"
A bit wide


I bought normal width. My feet are wide ish. However, I could have done with the slim fitting ones, which doesn't match my true feet shape. Haven't had Birkenstock before and bought them for flat ish feet. They we're comfy at first but one foot was hurting after wearing them all day. Probably something to do with my feet.OK but not raving about hem and don't agree with many of the reviews I have read about how fab they are
",0.0
125,125,KC,"
These size up big


These sandals are absolutely gorgeous and I'm gutted that they just don't fit me at all. 5 are too small, 6 absolutely huge and way too wide, I'm usually between a 6 and a 7. Even the narrow ones don't work for me. I'm yet to find a nice alternative and I'm desperate for some.
",0.0
126,126,Linus,"
Both shoes inner soles collapsed within two month of light use


Very comfortable as all Birkenstock’s.But this is the first one where the inner sole has started to collapse on both of them. See photo. I only have them for 3 month and haven’t worn them a lot.Quite disappointing for a Birkenstock and the high price asked.Is there any repair, guarantee service been offered?
",0.0
127,127,Amazon Customer,"
High birkenstock standard


Great fit liking the narrow arizona
",1.0
128,128,ND,"
Reliable, comfortable, classic


Perfect all around summer sandal. Supremely comfortable. Replacing a pair purchased  4 years ago and worn almost continuously.
",1.0
129,129,John W.,"
Quality product


BirkenstockWhat more can you say. Quality & ComfortableSecond pair both worth the cost
",1.0
130,130,superviews,"
Great price for a pair of Birkenstock’s


Really happy with these. Came in original box and construction is as expected (6th pair now)I’m a shoe size 9 uk and this pair of narrow size 8 is perfect for me....they were healthily discounted too!
",1.0
131,131,Julie Leitheiser,"
Comfort plus


Takes a little while to break them in. Then worn around the house all year round. Like this style because I can wear socks with them in the house ( not the best look) but warm in winter and prevents feet from drying out.
",1.0
132,132,jackie walker,"
Large fitteing


I’ve had three pairs of Birkenstock’s and they all fit different. These were slightly large fitting.
",0.0
133,133,MrH,"
Watch for size! Great product, as always!


These are probably my 5th pair of Birks, yes, I'm a very big fan!However, watch out for sizing, I'm usually a 9 to 9.5 and I always go for a UK 8. Check out the Birkenstock UK website if you're not sure, that seems to be correct!
",1.0
134,134,Muk,"
Don't buy anything else!


I wear uk size 8 and ordered a uk size 7 on the reviews and recommendations of others on Amazon, initially I thought I had made a mistake and that they were too small, but as the week passed they flattened out and fit beautifully.  I love them, they replaced a pair that I had worn to death for the past couple of years.
",1.0
135,135,Alicia,"
Great, although slightly bigger than expected!


After a lot of thought I bought my usual foot number and it came slightly bigger, thankfully I could adjust them and I wore them for the whole summer and they are fine. Very chunky and resistant, super comfortable. Only a bit disappointed as there are some stains of water that didn't really come out, maybe cause they are not real leather... other than that, very happy.
",1.0
136,136,steven stanley,"
Birkenstocks a great friend for your feet


I have been diagnosed with plantar fasciitis and my podiatrist recommended Birkenstock Amazon along with some stretching and rehab exercises. My condition has improved enormously in just a few days. I wear my Birkenstocks at every opportunity. The relief from pain is fantastic. I would recommend these shoes to anyone, once broken in they are better than slippers.
",1.0
137,137,M. M. Farquhar,"
Very happy customer


My first pair of Birkenstock sandals. Have been comparing prices for months and this purchase came in so much cheaper than other online vendors and high street stores. Delivery date was spot on. Well packaged and the sandals fit perfectly. From the info that came with the delivery it looked very straightforward to return if unsuitable. I am a very happy customer. Already thinking about a second pair in a different colour. Highly recommended.
",1.0
138,138,Jeremy Duck,"
Quality, comfy, stylish


This is the second pair I’ve bought. I must have narrow feet as I always need to straps on their smallest size. I really like the colour and these are comfortable right out of the box (my first pair took a while to “give”).
",1.0
139,139,Sylvia Emery,"
Very comfortable, look good too if into casual dress.


Love these, relaxed looking and so comfortable , worn all last summer, and worn indoors in winter as too as comfortable. Great for beach living. My 'default' footwear.
",1.0
140,140,mrs c,"
Birkenstock’s are brilliant!


Great product... love it !Delivery took nearly 2 months which Brexit was partly to blame ... hopefully!
",1.0
141,141,GM,"
Love them!


Bought them to replace another pair after a few years of intensive us. Great shoes - although it gets a few weeks for them to feel really comfortable. Persevere and you'll be rewarded!
",1.0
142,142,Amazon Customer,"
Unsure whether I'd buy again


These are very lovely looking and high quality, but I have very flat feet and the arched shape of these meant they took almost 3 months to wear in, and even now, they still rub on the arches of my feet. There must be another brand that offers very comfortable tailored to you shoes which are not this painful!
",0.0
143,143,Madame H,"
Happy purchase :)


Birkenstock Arizona are manufactured in two widths WIDE (regular) and NARROW, so try to make sure which fits you best before your purchase. The leather looks really good and feels very comfortable. I was a bit concerned with the delivery estimate, but received good assistance and my order arrived just in time. Thanks.
",1.0
144,144,Amazon Customer,"
Perfect


This is exactly what I'm used to from Birkenstock. Perfect fit, comfortable, good value for money.
",1.0
145,145,C&G,"
Love my Birkies!


Soo comfortable, fantastic price, haven’t taken them off since I got them and they still look brand new!
",1.0
146,146,Amazon Customer,"
Chose a size down!


So happy with these! Couldn’t find white ones in my size in any shop, so ordered these. They arrived quickly and fitted perfectly. I chose a size down as they are made big. Love them.
",1.0
147,147,Elizabeth Page,"
These sandals were very nice, but too large


These sandals were very nice, but too large, so I contacted the site to return them. It was so easy, with the return postage paid paperwork to print off, and so fast that I highly recommend shopping with this service.I also had notice of the purchase repayment to my paying authority.
",1.0
148,148,50042,"
Usual Birkenstock great quality


I have owned a couple pf pairs of these shoes.Why pay £45 (in the sale) for non leather in the shops when you can buy genuine leather for £36 with free P+P on Amazon.The non leather Berkenstocks are ""OK"", but these (leather option) are the cats whiskers.Not all shoes suit my feet but these are put on and forget.I have had both normal and narrow fitting, for a normal foot chose narrow, there is still plenty of adjustment in the straps. If you order normal, you might find that the staps will not adjust tight enough.I am normally a 42 (UK 8) but having ordered my normal size i found them to be too big. Returned for a 41 which fitted perfectly.Cannot recomend enough.
",1.0
149,149,LEPurvis,"
Sandles are beautiful and good value compared to other sites


Sandles are beautiful and good value compared to other sites. I'm usually a 6 but bought a size 5 as I know to size down from previous Birkenstocks I've bought. Really comfortable and molded to your feets
",1.0
150,150,Steven R.,"
Just what the Doktor ordered


This transaction and the product overreached my expectations. The price compared to the RRP was great, delivery was swift and the Birkenstocks are better than I imagined. These genuine  Arizonas replaced some 'fakenstocks' (that did last eight summers!) I did some research online and in an actual unsuspecting shoe shop and decided to go for a 41, whereas I normally take a 42. They really couldn't fit me better, the leather's soft from the outset and they're so comfortable.It's a pity that I'll have to stop wearing them soon as it's getting a bit cold now, because everybody should know; socks are always gonna be a no-no!
",1.0
151,151,Amazon Customer,"
Straps aren't leather, for the price they should be !!!!


Disappointed that for the price the straps aren't leather! Not able do them up tight enough on foot either. Luckily I did buy them to only wear around the house, so the fact that they are soooo loose is not as much of an issue as it would be if I was wearing them outside. They are comfy & surprisingly warm underfoot though.
",0.0
152,152,KCoop,"
Great shoes but arrived in a damaged box.


The shoes themselves are great. They fit exactly as expected and they look cute. However, the box they arrived in was completely battered and falling apart. A good job I wasn't giving these as a gift!
",1.0
153,153,Tooring,"
Strap rivets rubbed on upper foot


Rivets under strap rubbed on upper foot, not sure if this was a single manufacturing fault or a fake product but I have never experienced this with the two strap sandals before. Had to be returned
",0.0
154,154,Pom,"
If the correct shoe had been supplied I'm sure they would have been a perfect fit as all previous purchases of Birkenstocks have


The product supplied was not as described. I ordered 35 normal width, what was supplied was 35 slim which were consequently too narrow and uncomfortable. If the correct shoe had been supplied I'm sure they would have been a perfect fit as all previous purchases of Birkenstocks have been. I am reluctant to re order the product in case the same error occurs.
",0.0
155,155,L Pitman,"
Enormous!


These are clearly wrongly sized. My son is a UK 9 (43) and these were enormous on him. They filled the entire size chart on the box lid, so are the largest size they make! Very disappointing as they were his birthday present
",0.0
156,156,Alan Evans,"
Good, well made sandals.


They are Birkenstock, what more to say! Fit great and feel sturdy. Last pair lasted me 7 years of quite a few holiday stompings. Yep, they ain't the cheapest, to be sure, but you get what you pay for.
",1.0
157,157,zka,"
Smart and comfortable.


Bought it in metallic silver and they look lovely. I went up a size from my usual. The fit of these particular shoes is ""narrow"" but I don't see them as being narrow. They do take some time to break into but then they are extremely comfortable.
",1.0
158,158,Sharon,"
take time to become comfortable. I bought a size 7 where as I ...


Lovely sandals, take time to become comfortable. I bought a size 7 where as I usually wear a size 6 and I am glad because I find he 7 fits perfectly so I would definitely recommend buying one size up for this particular style.Would definitely buy another pair in a different colour
",1.0
159,159,MRS A.,"
The price is much cheaper on Amazon.


I have worn Birkenstock’s for years and my feet are really suited to them. Initially, you have to allow your feet to become accustomed to the moulded sole. This takes a couple of wearings. I find them fairly lightweight. They are very hard wearing!
",1.0
160,160,Mohamed Mansour,"
Classic


I had a Birkenstock before for 5 years but then the sole got dirty and hard to clean so I thought about buying a new one. Excellent pair of Sandals , very sturdy and very comfy once you use them for some time.
",1.0
161,161,M. Humphris,"
smart sandal set


Great sandal, very comfy, although the right sandal had a ridge running down from the big toe which rubbed against my foot - solved by a large piece of plaster over it, but all in all great smart looking pair of comfy sandals. The material does mark, so take care not to get too wet or spill anything on them. Size wise they fit well as expected.
",1.0
162,162,R. Smith,"
Good Quality , but check sizing carefully


Have been wearing Birkenstocks for over 20 years and they just work well. I am a size 8 1/2 so in these you would need a 7. Just be aware that Birkenstocks measure up larger than normal shoes.
",1.0
163,163,BennyP,"
A great buy


I bought these as footwear for my holiday as on many occasions have ended up with sores from flip flops after walking any distance. I read the previous reviews before buying and have to agree that these are just great - super comfortable, well made and a great price too. I followed the instructions for the sizing and bought the EU equiv to my size 6 and its fits perfectly. Highly recommend.
",1.0
164,164,spendo nagasaki,"
A strange fit with some odd design choices.


These sandals are quite a narrow fit, and have a very strange ridge / recess around the toes which takes some getting used to. They have caused me blisters on my instep as it is difficult to position your foot so that the toe ridge is in the right place without having the sandals loose enough so allow rubbing on the underside of your foot. I can't recommend these at all.
",0.0
165,165,Amazon Customer,"
Birkenstock summer


They replace an old worn out pair and are just what I needed for the time of year. I fully recommend this model for the comfort and value they bring.
",1.0
166,166,Barry.c.Brooks,"
As expected


Arrived ahead of time and product was expected from Birkenstock having worn them for years
",1.0
167,167,rajastream,"
but a size 5 birkenstock is perfect for me


These shoes I find are large for the size. I am normally size 6 and very wide fitting, but a size 5 birkenstock is perfect for me. The new man made ""leather"" is very comfortable and so far seems very durable. No blisters at all with new shoes, and I usually get these when I have a new leather pair
",1.0
168,168,Annbalou,"
Style and Comfort


I have many pairs of Birkenstocks in various styles and they are always so comfortable, the company says you may need a couple of days to mould the footbed to the shape of your foot but I don't find that. they are my go to footwear of the summer and have been for years.
",1.0
169,169,Thomas Phipps,"
Badly packaged.


Great product sandals are great!This is my second pair and found they last year's.3 stars due to the rubbish packaging. Arrived in a badly damaged box. For the price of the item I'd expect better.
",0.0
170,170,Moo,"
Dad is happy 😊


Very comfy (so my dad tells me!). Great price with student discount too.He said there was no period of breaking them in. Just comfy from the start. Hopefully they'll last as long as his beloved Clarks. But they seem sturdy enough.
",1.0
171,171,Lone Rider,"
Well Worth The Money


Quality, hard wearing and comfortable. I live in mine and wouldn't be without them. Don't wear socks when you've got them on as you will look like a dick!  ;0)
",1.0
172,172,E Lockhart,"
Aaahhh!


Wonderful. Within a few days of wearing these only, my latest bout of plantar fasciitis disappeared! The firm support takes some getting used to and breaking in, but that's what I need for my heel pain and high arches. I wear 5.5-6 UK in women's shoes and always take a 38 in Birks.
",1.0
173,173,Bill T,"
A ""retro classic"" sandal for those who shun fashionable shoes


I liked the look of Birkenstock Sandals in my local shops, very solid and well made, but thought the price was too high, luckily I found some on Amazon for 1/2 the shop price! Haven't worn them much yet, but they are very comfortable but not too fashionable, they're more of a ""retro classic"". Looking forward to looking cool on the beach, I'm leaving all my socks at home.
",1.0
174,174,Amazon Customer,"
Lovely


Why haven’t I discovered these before. Excellent foot protection.
",1.0
175,175,SandyJ,"
Good buy


I have been wearing a pair of Rieker sandals of the same style as Birkenstocks for years but this year I am too ashamed to be seen in them again so I thought I would try the originals. They are even more comfortable-the footbed is the crucial part as it positions your feet optimally. Definitely recommend and will no doubt be trying other colours
",1.0
176,176,skull,"
Men’s comfy birkies


Bought plenty of Birkenstock’s over the years so know exactly what I’m getting and I find the sizing is accurate.  Most comfortable things you can put on your feet. Good service from seller. Highly recommended.
",1.0
177,177,MaH,"
Brilliant sandals


Fab, thank you - quick delivery and narrow fit which is perfect for me.
",1.0
178,178,Ms. J. M. Radford,"
Great Looking Great Colour Fit Perfect


Love these.just took them out for a trial run . Great colour. Sold out on office so checked amazon and Yes They had them.cheaper too. Very Happy
",1.0
179,179,RizzoRules78,"
Love These!


I'd forgotten how comfy Birkies were, and LOVE these. They fit well. I am a 5, and ordered a normal 5. Just perfect. Thank you! :)
",1.0
180,180,tobymorse,"
Footwear winner of the century for me


The only footwear that my feet will give a 5 star award to. I suffer terribly with pain on the ball of my feet but Birkenstock know just what is needed. I can rely on my Birkenstocks every time and the best place to get them is definitely Amazon.
",1.0
181,181,Mjp Scott-smith,"
Disappointed but now happy.


Whether it is the style I am unsure, but I have a toe-post design of Birkenstock which fits perfectly and when measured there is no difference in the food bed so I have put it down to the top design.  If I tighten the straps to ensure my foot does not fall out, they just look silly.  Will remember not to buy this style again.07.03.2012 - slim fitting.Ordered another pair - but chose the slim fit this time.Ordered 6th MArch.  Arrived 7th March.  Now that is something to be positive about.
",1.0
182,182,Brenniboo,"
Not what they used to be or more fakes have flossed the market


I have been buying Birkenstock sandals for 10 years and most disappointed with this pair. Bought in March 2019, soles are wrecked at today’s date August 2019. I have a 7 year old pair in better condition. I’m sure they must be fake or birkenstocks are now made rubbish and not worth the money. I am so annoyed !!
",0.0
183,183,G Star,"
AS ALWAYS BIRKENSTOCKS ARE A GREAT PRODUCT


GREAT FOR IF YOU'RE ON YOUR FEET A LOT, AND BRILLIANT FOR SUMMER. YOUR FEET ARE WELL CUSHIONED, AND SUPPORTED WITH ALL BIRKENSTOCKS AND THE DOUBLE STRAP OF THIS DESIGN MEANS YOUR FEET ARE HELD SECURELY IN THE SANDALS AND DON'T SLIP IF YOU ARE WALKING FAST.I BOUGHT THESE IN BROWN, FOR MY HUSBAND WHO LOVES THEM SO MUCH HE WANTS ANOTHER PAIR IN ANOTHER COLOUR!!
",1.0
184,184,Mr I Hague,"
Size issue


Shoes are very good quality, however i read reviews and as i usually am size 9 i bought a size smaller as some said, guess what, they were too small!! Had to send them back and buy the correct size, they were ok length wise but just too narrow
",0.0
185,185,Amazon Customer,"
They arrived when expected and well packaged and they are really great quality. You have to wear them in though ...


I absolutely adore these shoes- they have not come off all summer! They arrived when expected and well packaged and they are really great quality. You have to wear them in though for little bits at a time to get used to them, but once that's done they are so comfy. The colour is really lovely too :)
",1.0
186,186,C. B,"
Very comfortable, I hope they last


I decided to try these and am very please, a friend advised me to wear socks with them for a few days to help with the breaking in. I did this and am now wearing them without socks without any issue at all. Very comfortable, I hope they last....
",1.0
187,187,stevie lockie,"
Well worth money


I have wore birkenstock since i lived in germany 25 year ago ! I wear them every day as they are so comfortable
",1.0
188,188,Keep em smilin,"
Love ‘em


I’ve worn Birkenstock’s for maaaaaaany years. I can’t fault them. A pleasure to wear.
",1.0
189,189,Alan w,"
Nice


Good quality product, would buy again
",1.0
190,190,Sylvan Francis,"
Great Product - Great Fit.


Great product. They are very well made and designed, giving great comfort and a 'true' fit.
",1.0
191,191,Jackie Flack,"
Good quality sandals. Healthy for feet.


Good fit. Very comfortable. Wear them all the time.
",1.0
192,192,MJ,"
Quality sandal and reasonably price


This is my 4th pair, been wearing Birkenstock sandals for the past 30 years. Made to last and very comfortable.
",1.0
193,193,Stan,"
Not leather as advertised


Item is listed as having black oiled leather upper. But instead it is the birko flor synthetic upper
",0.0
195,195,Gary Newton Browne,"
Very comfortable


A high-quality item. I exchanged to a smaller size as they're a generous fit. All went very smoothly. A happy experience with this seller.
",1.0
196,196,Pat @ Dover,"
Great supportive sandals


Had a pair like this in oiled leather for years, the soles wore down but the uppers were perfect so had to replace. Both the wife and I use these scandals as slippers in the house, they offer great arch support and are extremely comfortable, normally expensive but worth the money so a good saving from here. Arrived very quickly, highly recommended!
",1.0
197,197,Dr. M. Lambert,"
Mmmm ... feels nice now


Only had them a few days, and had to return and reorder to get right size, but I LOVE them. They have a really lumpy sole that takes some getting used to it, so may not suit all, but after a couple of days I find myself standing still just loving the firm push up against the running-knackered soles of my feet. Mmmmm.
",1.0
198,198,Mom,"
Beware. Not as described.


The description says ""genuine leather, soft footbed"" and the ones they sent me were birko-flor, regular footbed - a much cheaper model. Sent them back. Mega disappointed.
",0.0
199,199,Amazon Customer,"
Comfortable and long lasting.


Eventhough Birkenstock Schuhe take some time to get used to especially if you are used to odinary shoes/sandals. However, I have always worn Birkenstock sandals and because of the formation of the sole I have found them very comfortable and can have them on all day!
",1.0
200,200,Kevjeff54,"
Cool and comfy footwear


Bought a black pair with strange half sizes - opted for the higher size (10.5) and was swamped so I returned them for a next size down (European size 44 - maybe a different supplier) and got the colour I wanted as well as a perfect fit. Wore them all week on holiday and loved them
",1.0
201,201,J. E. Grierson,"
Narrow!


It is NOT made clear that these are narrow. I am returning as my feet are far too fat!!
",0.0
202,202,Rosie,"
love love love


I love my Birkenstocks and what a fantastic price, they came really quickly and I haven't been able to take them off since. There has been much birkenstock envy in the house since and subsequently my boyfriend is going to get a pair...yes we will be the couple in matching sandles (hanging my head in shame!)
",1.0
203,203,milly,"
Brilliant seller first class service


There are on the big size so I needed a size smaller than usual, but I was after using for my holiday and I had the normal 13 too big but hay talked to customer service and they sent size 12 out and here the next day. Hours before my holiday now that's customer service to the highest standard . As for clogs by Birkenstock you cannot go wrong a real good product.
",1.0
204,204,Alan w,"
Nice product


Good quality product, would buy again
",1.0
205,205,Susan,"
Great price!


I love birkenstock sandals. I have these in black and brown and went for the white when i saw them at a good price. Since I've already worn this style before, these were comfortable out of the box. I recommend that you buy your regular size in a normal width (unless you really do have narrow feet!). If you are new to birkenstock they probably feel a bit loose and big at first. Your toes shouldn't touch the ends and if you buy the wrong size you won't get the benefit of the arch support etc. Just take a little bit of getting used to.
",1.0
206,206,leairz,"
Great.


Got these for my husband. He didn't think they were worth the full 5 stars,but I'm pretty certain they were perfectly comfortable and practical for his holiday needs. What's also great is that they come in big sizes, though we had to go one size down (he usually wears47 but these were 46, because 47 was just huge!)
",1.0
207,207,ann wood,"
Brilliant


Just as expected.  Added to my collection
",1.0
208,208,Amazon Customer,"
Sandals that fart


These are the narrow fit sandals - I hadn’t appreciated this. Mine make farting sounds with just about every step I take as air gets trapped between my sole and the sandal. Never had this problem before with normal width sandals. Bit embarrassing to say the least and make me self conscious. Judging by my googling, I’m far from the only one... and there’s precious little I can do about it, bar buying another pair of the normal width
",0.0
209,209,Amazon Customer,"
Comfy, stylish don't want to take them off


Love my sandals, wore them practically every day last year, in lock down not so much with no where to go 😁 really hard wearing will last a longtime I reckon, recommend them 100%
",1.0
210,210,Louis the cat,"
Expensive but nice


Nice looking. Comfortable. Expensive
",1.0
211,211,janjak,"
sandals


These are the most comfortable sandals I have brought. They are very good to look at and go really well with jeans or casual trousers.this is the second pair I have got as I wore the first pair a lot of the time. Even indoors they are comfy as slippers. I would recommendthese to everybody.
",1.0
212,212,Jack,"
Great!


Just the right size for me… no regrets.
",1.0
213,213,Borchy_j,"
Great


Great shoes and delivery. Ordered a 2.5 but think next time I would order a 3.5. Lovely quality sandals and lovely colour.
",1.0
214,214,L Mc Cann,"
Unsatisfied


Too big so have to return. Cannot believe I have to pay for returned postage. Last time I buy from this seller.
",0.0
215,215,Mayu,"
Happy hubby, happy me


Only sandals my hubbie likes to wear! Had to buy new pair as last one 5 years old, daily used and only just started looking too scrappy to wear..not falling a part though! Happy hubby, happy me!
",1.0
216,216,MASTER CARD,"
birkenstpck arizona


A few years ago the Arizona had thick leather straps. Now the straps are felt bonded with top layer of leather. Also beware when ordering. I ordered UK normal but these are slim fit so the straps are on the widest notch. OK for me but if you have a wider foot they will not fit.
",1.0
217,217,M. SHARPE,"
Wonderful Birkenstock


I have had a pair of Scholls somewhat similar which I have worn to death.  So I invested in a pair of these. Wonderful and supportive and help with the pain of osteoarthritis in my foot.  I wear them all the time indoors instead of slippers!  I shall definitely be buying some more to wear next summer.
",1.0
218,218,Jango,"
So comfortable.....


These friends are getting more comfortable every day , they are taking on the shape of my foot as they are meant to. I am normally a size 40 with a wide foot and high instep but ordered size 39 as advised and they fit perfectly. This stone colour seems to blend with all my clothes so they get worn often!
",1.0
219,219,crispin70,"
... normally wear in all other shoes and I'm so pleased I didn't size down


I decided after reading lots of reviews to just order the size I normally wear in all other shoes and I'm so pleased I didn't size down, as many have recommended.The fit is perfect in my normal size 11.I have never put on a more comfortable piece of footwear!I urge you to buy some!
",1.0
220,220,D C.,"
Classic sandal and the best


Second pair of birks only because I wanted a change in style. Buy a size smaller as they come up massive. Comfortable for all day wear. Love them
",1.0
