,Name,Review,Suggestions/Complaints
91,Sala Somanath Prasad,"
Excellent firestick.






                    The media could not be loaded.
                




   I like the performances without any doubt. I tried the 3rd generation firestick with our one plus 65"" android TV. I am very much impressed. I have also used on my LG 32inch TV also. I have observed the same quality of performance. Every thing is working fine and I updated the software also very easily. I am not having WiFi and I am using Hotspot from my mobile. Performance is undoubtedly excellent. I recommend to interested customers to go for this where Hd port is available for their TV's.

",1
92,Ganesh bagal,"
Amazing amazing amazing product I bought it for apple tv



  I have smart tv at home and for second unit i am using Comcast but it is not very dependable and i was waiting for some solution to get ride of it .  Fire tv is more like mini android phone or having cheaper version of apple tv .Ui is awesome but stick is not that fast and kind a laggy ( typical android kind a thing ) . But can’t complain.One more reason to like it more is bluetooth support for headphones or earphones ( you can’t pair two headphones or earphones simultaneously)  With dolby digital plus watching HQ content is perk .Try to avoid 4k edition if you have smart tv or even if not now a day Smart TV available for 12-15k so not logical to spend 4-5k for stick only . Among all Indian edition is good deal ( i got it for 2,000₹ )Go for it really liked it alot .

",1
93,Pradeep,"
Very good streamer



  I have and am using mi stick.  This was for the second tv.  The Amazon prime part is very fast.  YouTube like normal speed.  Most other apps are there.  My major 2 cons are.  a). There is no instructions on how it starts.  It was prompting me to push a 3 dot button on my remote which was not there.  I randomly clicked some buttons and it started.  b). In the Amazon app in Android tv there is a move video button which shows the scenes much like YouTube.  Could not do that in fire stick.  But other than that, the speed is really good.  Will be checking more and updating.  Alexa assistant is a bit of a hit and miss and in my case more miss.  This inspite of me having an Alexa at home and that is working well.  So this was surprising.  May get well with time.

",1
94,Abhishek verma,"
YouTube, Prime, Disney hotstar+, Netflix, Sony Liv,  Zee 5



  It supports all major streaming services includingAmazon primeDisney hotstar+NetflixZee5Sony LivMX player TVand the most wanted YouTubeit also has built inScreen mirroringMenuAlexa supportGo for it, also during great Indian festival I got it at ₹2199 (gen 3 2021)

",1
95,Komal Agarwal,"
Disappointed



  Not working with my LG TV, returning sadly.

",0
96,Genuine Review,"
Best Fire Stick so far amongst all.



  The Best part of this fire stick is its wifi receptive mode and I do have 2 Sony Tvs and one is W820 Android latest one and one is old Sony tv of 2017, i found even the latest sony tv get defeated against this fire stick as this fire stick was playing such smoothly irrespective of Sony Android tv where default All OTT are there but was buffering a lot on my good wifi speed whereas on same tv this firestick was running smoothly.So yes receptive mode, picture quality, sound, all are as of now after using more than 3 months, its flawless.Dont buy 4k fire stick or fire stick lite. Buy this as this is the Best Stick you will get as of now.

",1
97,Sachin bhardwaj,"
Go for it, amazing product.



  Product is really good. I am using it in my 6-7 years old TV, which has HDMI support to use this amazon fire tv stick. Believe me, i am in love with the remote, its compact, works smoothly.Few people who complaints, thats why i would like to mention some points which i follow and then i am facing no issues.1. Your wifi router should be nearby to get the best speed and network.2. If you have 5GHz network then its really good.3. Alexa works fine but its very limited to certain apps.Also please when it will start for the first time, please have some patience, it will take some time to set up then from next time, its works amazing.

",1
98,Nitin Rege,"
Stay away if you want to buy for Dolby Atmos as this device does not support



  Latest Update as of 27/12/21Have to reduce 2 stars I bought 2 Echo Studio speakers and paired with Fire TV Stick to get the DOlby Atmos effect, although the Eco Studio speakers support this Fire TV Stick does not support Dolby ATmos as claimed by Amazon. I have read each and every setting and had a conversation with many engineers form Amazon and got this confirmed. Please do not buy this if you want to pair it with any Dolby Atmos speakers. You will be disappointed like me.I have been using the Gen 1 Fire TV Stick with my non smart Panasonic TV since the launch of Fire TV Stick Gen 1. I recently purchased an Android TV from Panasonic and The OS was slow in responding and based on my experience with Fire TV Stick I thought of purchasing another Fire TV Stick to pair with this TV also because I am more familiar with Amazon Ecosystem then the Android / Google. It was a no brainer to go in for the Fire TV Stick with Dolby Atmos support because I plan to purchase Atmos Soundbar soon.The set up was easy like any other Amazon device however I was somehow not able to use the volume up down button with my TV. The workaround was to pair the bluetooth remote directly with my TV using bluetooth and then most of the functions worked and the TV could be switched off using the Fire TV remote but it could not be switched on again not sure why.The UI is simple and the response is faster then my Gen 1 stick also the boot time is much faster and hence I mentioned good device but not without flaws. Lot of R&D is still needed to be put in. Go for it if and only if you are keen on Fire TV Stick with Dolby Atmos Support else you would be better off buying the normal Fire TV Stick.I shall update the review once I pair the Atmos speaker with the Fire TV Stick.

",1
99,Gp,"
Cheapest way to get dolby atmos content



  I have an older 4k tv which doesn't support dolby atmos,  but a new atmos compatible soundbar. Was struggling to getting atmos source till i came across this newer model of firestick that supports atmos content on netflix too. Even the 4k stick doesnt. I do miss the 4k stream but full hd hdr with dolby atmos is good enough compromise till i get a newer atmos compatible tv. Good vfm option.

",1
100,Siddharth Revankar,"
Feel cheated..



  When I had placed the order for the fire stick during the prime day sale, they had displayed that enjoy zee5, sonyliv & voot  for 1 year bundled with the firestick but now when I tried I am getting error saying this offer is not for this device. First when I called Amazon customer care, they told me a procedure to login.When it still didn't happen, now customer care says that this offer not applicable for ur device. Then y were they displaying that subscription for those 3 are free along with the firestick?? Amazon has to sort out this issue at the earliest. Really disappointed!!

",0
101,Amazon Customer,"
Awesome product



  After some research only , I have placed an order for amazon fire stick, audio output is awesome which is equallent of real theater sound exprience if you use even mid level sound system also. I am using Normal Philips 5.1 system.. Bcz of this stick quality getting good output..Picture clarity also super and, also I like the firestick user interface and easy navigation along with remote Alexa voice etc.. .. Reason why I order this product is it has volume control + full HD support, my jiofi bandwidth support to stream Full HD.. as iam having good signal for jio, I am 100 percentage happy with this device, so I recommend.If you wanted get volume control and power button control select your TV brand or equallent option from setting tab, I am using this device 1st time and 1st day.. For 24 inch Sony TVIt is easy to manage..

",1
102,AKT,"
Issue fixed. Combo pack Battery is not as per description



  Updated Review.Looks like it's a mistake happened from the developers who added a wrong product.Customer care team contacted me and asked me to order 8 AAA batteries and once it's delivered they have refunded the amount. So basically my issue has been fixed. Thank you so much Amazon.I got this product for 1999 rs for one 3rd gen fire stick. Bought this product since my second generation firestick stopped working after 3 years and repairing cost is1500 Rs.Orginal Review on 24th October 2021As per the combo pack description, two firestick and one set of 4 AAA batteries are included, but they are sending AAAA batteries instead of AAA batteries which we can't use anywhere in the firestick remote. Resolve my issue and I'll edit my review.

",1
103,Abhijit,"
Great product in a great price.



  I was already using the Fire Stick Lite on my LED tv so the functions and interface were not new to me, I ordered this one to use it with my projector as I was very sure that it will work. I'm currently using egate 9 projector with Fire Stick 3rd generation and what a experience!! You can see the difference when you connect the projector with laptop and then with Fire Stick. The first difference you will notice is the picture quality and the second and most important due to which I ordered my second Fire Stick is the discrepancy in synchronization of audio and video while connected to laptop. Problem solved and now I can enjoy uninterrupted movies and webseries on 130 inch huge screen.

",1
104,ABBI,"
Stuck



  At first not working just stuckAfter switch onn and off couple of times and then it went open and then I switch of my TV and other systemWhen I switch on after some timeAgain stuck.

",0
105,Megan Ferreira,"
Chrome is good, fire stick is better



  I own a GoogleChromecast, and honestly, The Amazon fire stick was the best decision I've made. I've used chrome for 5 yrs now (1st Generation), the Amazon firestick I purchased it yesterday, so the review below is just a day one experience.@Chromecast vs Firestick#difference.- Phone V/S remote- limited apps V/S unlimited apps- online only V/S can download content and take it along anywhere- have to set up from scratch every time you change the wifi V/S need to only change wifi details#Common:- can create up to 6 profiles- wifi connection required (obviously) I have heard that you can download on the firestick and take it with you if you're traveling (not sure of this works)

",1
106,chakky,"
One remote for all.



  A couple of years back my ordinary LED samsung television sound stopped working. So instead of trying to find someone to repair it, I decided to purchase a soundbar. However since then everytime we needed to watch tv, its been 3 remotes one for my existing firetv stick (5 years old before it conked out), the other for TV and finally one for the fire tv stick.With this newer generation firetv stick, the remote has integrated the power of the tv, the soundbar with volumen up/down and the stick intelligently!!  I didnt have to put any effort.Also so far the display is much better than the old generation. Must be something to do with using newer wifi technology in it.

",1
107,DevRid,"
Perfect tool to convert TV into Smart TV



  Got this at a cheap price during the Amazon sale during October 2021.Very easy to set up with the self explanatory guide. Takes about 15 minutes to update your fire stick and finish set up.The updated 2021 version comes with the new remote with which you can control everything, so much so after buying and setting this up you won't require your original TV remote again.The Alexa app does a decent job of recognising your voice and following the command.Stream quality is excellent.The only drawback or inefficiency is in the live TV button given in the remote and the option itself.It's meant to pull all the live TV channels from your subscribed apps and display them together so that you don't have to open the apps separately.But in spite of 'syncing' multiple times, fire TV couldn't sync and show the channels from the apps

",1
108,MadMax,"
2nd stick going bad



  This is my second purchase after previous one stopped working all of a sudden immediately after warranty ended. Upon calling I was asked to get repair from 3rd party for ₹1500/=.There was prime day offer and I got the new 3rd Gen stick for ₹2100/= and I said money well spent. I could not have been wrong. The new one is already giving trouble within 2 months of purchase. Yet to contact Amazon but quality is pathetic.I have old WDTV Live Media Player that's running since 2014 without any issues. Why can't Amazon build quality products?Please avoid buying.NOT RECOMMENDED.

",0
109,Arun Kumar,"
Not connected with tv and customer care don't able to resolve



  I have tried more than 4 hours to connect the device but unfortunate not able to connect while I was taking help of customer care also but they told me it will be resolved in next 24 HRS...wait for that....very bad experiences with this

",0
110,Dhinesh Ram,"
A Product Which Lasts 5 Days



  Worst built quality of remote. It's dead in 5 days. Tried all the recommended methods to reset and nothing worked. For INR 4000 you sell such a cheap quality product which lasts not even a week. Seriously??? Totally disappointed.

",0
111,CRV,"
Value for money!



  I have been using the Firestick for more than a month now. From my experience, I never had any lagging in Wifi streaming. The picture quality is very good. I rarely use voice recognition, but it is fine.Overall, I am very happy that ordered the Amazon Firestick, instead of another brand that available off the shelf.Straight away go for it, worth purchasing.

",1
112,Oliver Lloyd,"
Live tab not working.



  Live doesn't show up channel guide or live channels which I have subscribed to.I can't sync the channels from other apps I have subscribed.

",0
113,Khutta Meethha,"
Poor quality product. Overheating issues started on the first day of use.



  This is my second Fire Stick and I am regretting the purchase. Had a poor experience with the first one as well.I bought the 1st gen Stick a few years ago - which lasted a couple of years and then it developed a personality. It would connect to wifi when it wanted and disconnected whenever it felt like it. Some days it would refuse to recognize the router (I have fiber FTH). And one fine day it stopped working completely.I bought the latest (2021) version of the First Stick to give it another try. On the first day, within 15 minutes of use, I started getting warnings from it - messages on the TV screen saying it was getting overheated (it is used in a room with an AC always on - with an ambient temperature at 25C or lower). I suspect this too will die in a few weeks of use.Sometimes you get what you pay for. Seems to be made of ultra cheap components. So no surprise that its performance is garbage. Avoid.IMHO, Roku is a far better value for money (my Roku from a decade ago is still working fine). You can play all the apps on it, just like the Fire Stick. But it is rock solid and you will be happy with it.

",0
114,True buyer,"
Amazon Is best



  Last Year I ordered 2nd gen firestickSomehow at July end that firestick got some technical issues and was not working I complaint Amazon about that they told me to get new device and they will process refund for that device , I'm impressed thanks Amazon I have received the product and refund is under process thank you so much. That's what I call customer service

",1
115,Kartick,"
Amazon has created a gem of a product



  It works perfectly with yamaha home theatre. Watching movies is so much fun now. We had a Chromecast before this. And I must tell that this device is way ahead of Chromecast. No more fiddling with the phone to watch. Just one remote controls even my HTR.Plus the voice functionality is pretty intuitive. Even my 5 yr old uses it to watch rhymes. Sigh!!!There are still some niggles though. Searching for content within an app is tough. Eg. Search for a song in Spotify and it would start playing in Amazon Music. Is that by design? Well, everything else works fine.Also, you need to keep the remote coddled. It costs 2000 bucks to replace and that remote is the lifeline of this device.

",1
116,P N Pranav,"
Got it a deal






                    The media could not be loaded.
                




   I was using Amazon Fire TV Stick 2nd generation. I was finding difficulties to open apps like Zee5, Sonyliv. It's response was slower and many times it gets crashed. So I wanted to try this new 3rd generation Amazon Fire TV Stick. I got in a deal at about Rs. 2000. I was reluctant to purchase it but after using it I was satisfied. It's fast as compared to last 2nd generation AFT Stick. Response to Alexa is also better.Only one problem what I am facing is that there is audio output problem when I use zoom (side loaded and updated). That was when I was using 2nd generation AFT Stick.

",1
117,Amazon Customer,"
Good but need some improvements



  Good but some times Alexa says cannot connect to server try again so U need to restart it to work ...and it has problem of getting struck in Netflix mostly and restarting is only the option these issues are small but I believe they need to be rectified for better performance... Streaming quality is good ... I have reported the problem to call centre and they have sent me a new device in a day which is good ... So the service if fast and good ... But still have the issue with Alexa but the new device does not get struck during use... Must be some software problem ... But I still recommend firestick because of the service and all the other positives .

",1
118,SACHIN V,"
Good addition to convert your semi-smart TV to smart TV



  Helps to make your semi -smart TV to a smart Tv by adding a lot of apps and Alexa. I had been using the Fire TV 2020 model as part of Tata Sky Binge - first month free and then Rs.249 a month added to your Tata Sky DTH recharge. And to watch Netflix, Amazon, Zee5, Hotstar, etc. you pay separately ranging from Rs.499 a year to the same a month. Last month, I ditched Tata Sky Binge and bought the new Fire TV stick 2021 at Rs.3999 and the difference is that I own this. Functionally, there’s not any difference between the new and the old barring dedicated buttons fir Netflix and YouTube on the remote. Anyway, Fire TV stick is useless without subscription to the Apps mentioned earlier. The new TVs May not require this though. I bought a new LG Oled TV which comes with an additional Magic Remote which does all the stuff done by Fire TV stick + it acts like a computer mouse and better in selecting the alphabets when you need to type in your log in id for any app ( can log in using the same app on phone too without this trouble). I am using the Fire TV stick on the Sony Bravia bought in 2015 which is somewhat smart and Fire TV stick brings it at par with the new LG TV, well almost😀

",1
119,Vishal S Chopra,"
Simply Superb!



  This is my first Fire TV Stick. Got it at a great price and perfect time at Amazon sale. This is my review after 15 days of use.Installation and initial setup was very simple and connected to my BSNL fibre broadband wifi in a jiffy. It also works well with mobile hotspot. But to enjoy streaming to the fullest better to have fibre broadband.The new UI is absolutely fantastic with smooth and fluid interface. Browsing experience is fantastic too.All major apps are available in app store. Streaming is top class without any lag or buffer with outstanding picture quality. Switching between apps is also lag-free.Alexa remote is just superb with perfect voice recognition on my first ever attempt.Simply go for it.

",1
120,jitendra,"
Bluetooth audio, voice recognition, streaming great



  Must buy if you find it under 2500 again.I got free prime subscription for 3 months as well.Few points:1. Always purchase this version. Dont buy lite version. I returned lite version. Reason is bluetooth audio. Lite version has very low bluetooth audio and you can not even hear dialogues.  This version of sticks has volume controls for bluetooth devices with latest firmware update so you can use fire stick remote to control your bluetooth headphone/soundbar audio. Trust me this helps a lot. Please update firestick bios to use this feature.2. Voice recognition on this version is very great and works on all apps.3. If you are connecting with aux cable or want to is TV Audio, please use PCM onlyoption fron audio settings on stick.4. If your bluetooth headphone/ soundbar has Bluetooth 5.0 then there is no lag in audio while watching movies. You can blindly purchase this stick as this has bluetooth version 5.0.  Other sticks like Mi and realme has bluetooth 4.0 which results in audio lag.I am using it with projector with soundbar and I am getting true theatre like feeling no doubt.

",1
121,Imho,"
Smooth setup



  Plug and use.Super-friendly, highly responsive, intuitive UI👍 that one might not have expected from FireOS!The Fire stick updates itself and provides for apps like Disney+Hotstar, SunNxt, Netflix, Zee5, Amazon prime video and many more from its own store.Some of the apps are free, to download as well as for streaming a few free shows/movies, while the more popular apps are free to download but subscription based.The remote is brilliant and if you have connected your Amazon account with any Alexa-enabled device then it picks up your WiFi automatically as is with all Alexa devices.Voice recognition is not 5 star but pretty good.Value for money purchase if your mom or family members are into watching serials and sitcoms as they could simply pause the show at any point, watch another serial episode and return to the paused show.

",1
122,Amazon Customer,"
Awesome product. Very happy.



  I got this latest generation fire stick on a discounted price. Installation was very easy. Easy to use. It makes our normal TV a smart TV. Streaming is very smooth. I really impressed with the improved sound quality with the same 5.1 speakers which I use with other media devices. Though my home theatre is not compatible with Dolby DTS or Dolby Atmos but stil I can notice the improved sound quality when I listen anything using fire stick in compared to playing with mobile/laptop/setup box devices. Very satisfied with the product.

",1
123,Amazon Customer,"
Most of known Indian app not there in appstore



  About good thing everyone knows and explained in the product video.What I didn't like is the list of apps provided in app store. I didn't find Sony liv, voot, zee5 etc in the list and most of the apps are not relevant. Also didn't find anything to download or add in the store. If this will not sort out, I'll return.

",0
124,Vinayak Hanchate,"
Very good device, but not reccomended if you already use ""Tatasky Binge +"" and want to upgrade



  The all-new version works smoothly.The all-new interface is great and more clear to find everything.But the only thing missing is the ""Tatasky Binge app"". If you use Tatasky Binge and want to upgrade.I yesterday upgraded from Old Fire TV Stick to the latest ""Fire TV Stick (3rd Gen, 2021)"" version.I am unable to find & install the ""Tatasky Binge app"" on the new device, which I am a subscriber of and want to utilize fully on the new device.It is frustrating because all of the OTT platform apps are I have subscribed are through Tatasky Binge.

",1
125,NewDeep,"
Sluggish ""Up"" navigation button on remote of 3rd gen fire tv stick (2021)



  This is my second firetv stick purchase. Very disappointed with the sluggish ""Up"" navigation button/ key/ arrow on the remote. Gets stuck, slow to respond.Other navigation keys— Down, Left, Right— work fine. Surprised to find complaints online on forums etc of other customers too facing issue with Up navigation button.Overall, 2nd gen firetv stick is a more smoother experience for me. This 3rd gen is comparatively less responsive (for me).Wonder why YouTube app on firetv stick seems to come without surround sound option though it has that on chromecast puck.

",0
126,Manoj Sharma,"
If you are looking for SonyLiv, Voot and Lionsgate then don't buy it.



  This 3rd gen FireTV Stick is useless if you want to watch Sonyliv, Voot or Lionsgate...All these apps aren't compatible and you don't get an option to install it.Many applications available which don't get streamed in India.

",0
127,Amazon Customer,"
This is not working with Kodak TV



  I had order all type of new Fire TV stick and all of them were not supported with Kodak TV. Old model is supported with my TV. Please provide right compatibility chart so that customer can review and buy.

",0
128,K.Shettigar,"
Best for Non Smart TV



  Best if you are not having a smart tv and want to convert it to one.Pros :-The streaming quality is good.Good options for apps.Inbuild Amazon Prime, Music and Netflix ButtonsThe remote syncs with the TV remote, so no need to use 2 remotes.Cons :-Sometimes the performance is slow.Alexa is Useless ( You need to have a proper English ascent )Conclusion :-Would recommend to others. As it is in budget and very easy to navigate.

",1
129,Udaya,"
Those who ask for Atmos, here's the proof..



  I was really looking for Atmos media player and got fooled earlier with 4k firestick which doesn't have atmos audio support.After a long research I found 3rd Gen stick supports Dolby Atmos,  I'm not worried about 4k where my receiver is capable of upscaling it.I'm giving 4Star as I still don't find Atmos in Amazon prime, Netflix does. And thanks to Amazon for delivering within 24hrs.Added photo to get the proof of Atmos, which I didn't see anyone posted earlier while I was looking for it. Thank you 👍

",1
130,Vishal Chaudhary,"
Amazing and Outstanding Performance... Go for it



  It is perfect. Firsty I'm very confused between fire tv stick and mi 4k box. But 10 day return policy help me to decide. And now fire tv stick is best. Remote is good amd easy to handle. I have get this with Rs 2799 only in the Sale. So wait for the sale to buy fire tv stick.

",1
131,Vish,"
Very nice, go for it



  1. My tv is just HD yet quality of the video is like 4K.2. Can screen cast from android and from iPhone as well but we have to install app from the store which is easy and free.3. I see most of the apps available that I use except wync.4. Quick and fast and work with voice as well. (Alexa)

",1
132,Uma r.,"
Device doesn't work



  The device looks new and of good quality but it is simply not setting up. As soon as it starts, it gets stuck on ""Searching for remote"" screen. The remote is not pairing with the firestick at all. I have tried every solution; changing batteries even though the product is brand new, factory resetting the remote, fire tv app, and all other ways available online. Nothing seems to work. Since remote is not pairing up with the device, it is also not proceeding further. I have no menu, no options left. I have spent a whole day trying to set it up. I am not going to waste anymore time because this is a device which is supposed to have a simple setup with most of the functions done automatically. There is no replacement option available for it. I am just going to return this firestick and try other products available in the market.

",0
133,Devendra Kumar,"
Nice buy



  Fire Sticks have existed now for more than a couple of years and are quite popular. So my decision to buy one is quite late, since we had become quite accustomed to streaming everything on our laptops and haven’t bought a TV which we firmly believe is an absolute idiot box. Having said this, I’m using the Fire Stick on a computer monitor and it is an absolutely fine buy, I must admit. If I ever buy a TV it’ll only be for the Fire Stick and nothing else. Will not be commenting on the functionality because many before me would have said much more. All I would want to say is that it is a really good buy for the family.

",1
134,NK,"
If few buttons stop working suddenly—> replace the batteries



  For those having problems with some buttons not working READ THIS :When i recieved my firestick it was superb. Everything was working great. But after few days of usage or let’s say1-2 weeks , the Volume button , Power button & Mute button stopped working. I was soo disappointed.The streaming and everything else worked fine. Soo i just continued using it cz the exchange process is very tedious.After few months it was time to change the batteries (had been using the batteries provided with the kit till now).And Viola ! Once i put in the new batteries, the remote was working absolutely fine once again. Even the buttons that Had stopped working were absolutely fine.Therefore, long story short - just replace the batteries if few  buttons on your remote stop working.

",1
135,Shashank M,"
Top notch quality product .



  Top notch quality product . The voice recognition is working . The remote is as shown in the picture and very good . The wifi recogniton + connection was very good . The usb cable is sufficient ( longer than mi tv stick ) . Overall the product is very good , I loved the packaging . The delivery was on time . It was correctly delivered on the estimated date . Most good tv stick ever been on the market. Thank you amazon for such a wonderful product .

",1
136,Saurabh,"
Excellent product



  Hello guys, I am writing this review post using this device for 10 days now.I am using it with Monitor and able to control volume once connected to Bluetooth speakers/ headphones (pl note that monitors inbuilt speakers volume cannot be controlled by Fire sticks remote)Though this version of fire stick is ₹1000 expensive than Lite version but totally worth it:a) Better sound outputb) remote with tv controlsc) powerful processord) MADE IN INDIA

",1
137,UTKARSH YADAV,"
Poor wifi connectivity



  I am writing this review after using the product for more than 10 days. There is persistent wifi connectivity issue with this model. It keeps disconnecting and the speed is also not good. I kept my phone at the same spot where fire stick is attached and the Internet speed is 30 mbps on my phone whereas fire tv stick shows Internet as speed 8 mbps. I am using Mi tv stick on another TV and wifi connectivity is very good in spite of the fact that router is placed very very far.Amazon should fix this.

",0
138,URBANFOTRAVEL,"
Worth for Money 💵💰






                    The media could not be loaded.
                




   While I getting parcel with good packed. I got offer price s about 2300/- so it is too useful for non android TV's. I connected to my Sony Bravia tv (old about 12 years) it's working perfectly of streaming & downloading. This device based on wifi only so keep wifi Speed above 100 Mbps better to avoiding lag. Total internal storage around 8GB, if u have any OTT logins you can install though Amazon store. Alexa voice recognition it's perfectly working to play an audio, news & weather etc. Clarity wise video streaming at 1080 resolution sufficient to watch on 42"" TV.  Inside the box you can get Amazon USB fire stick, remote (Alexa integration), female to male HDMI adapter, power adapter with cable ( micro USB), 2 AAA batteries & manual instructions. Follow instagram as Urbanfotravel

",1
139,Gajanan,"
Not Much Difference in 2ndgen & 3rd Gen



  not worth to upgrade, 3rd gen stick is better perform application switching but not seen much difference specially Sony liv & Zee5 compare to 2ndgen stick  , Amazon team should thing about to add more RAM to handle applications instead of adding application specific dedicate buttons on remote. Still I am a FAN of Amazon Fire TV is not comparable with any other steaming device it best streaming device available in market I am using it since 2017.

",1
140,Dr J X Lobo,"
Wonderful.



  I am such a fool. I should have bought this long back. I have been stuck with 3 smart set top boxes from Airtel which are very slow.Stream quality and device integration is excellent. I have an echo dot in the room. Both the device work wonderfully together.Love it.

",1
141,subrata banerjee,"
Nice smart device. But Bluetooth not connected and prime video freezz issue



  Nice picture quality hd 1080p and also sound is good all apps  easy to install my sony 32 inch 2018'tv  but Bluetooth not connected to my home theater. Show connected but no sound... Any person can suggest me, how to solve this. Alexa not so smart ..I have suffering from hang or freeze  issue on prime video 1 min freeze but sound continue.. but other app as like hot star, zee5, Netflix have no issue...

",1
142,M.Antony George,"
Wonderful product.



  I purchased this product for Rs 2000 as a festival offer and saved 1900.I converted my normal TV to smart TV with ease. It's voice recognition and Alexa function is super. So convenient and so usefull.I already purchase this for my home and now purchased for my parents.I like it and enjoying. Instead of purchasing smart tv at high cost you can convert a normal TV to smart tv with ease. Be smart. Purchase with confidence.

",1
143,Vishwanatha T,"
Excellent Product



  Excellent product even if you are not subscribing for any channels like Amazon Prime or Net Flix etc. I have been using it only for watching programs in You Tube and Alexa listens and Comprehends easily. If she fails, even if you give spelling, she will search and display the programs. Even though my TV screen quality is not upto the mark, somehow, the Stick is able to give me best picture quality in streaming. This is amazing. I saw my relative family using this for showing Tenali Ramakrishna stories in You Tube and I recommended this Stick to my team for watching various You Tube Trainings on technical subjects, BPMN training and BPM training etc., The effect will be amazing.Note: If the stick fails, you will end-up paying another INR 2000 for its replacement. Hence, please download their app (while the stick is working) on another dummy smart phone and if the stick crashes, you will have a back-up.

",1
144,Shanks,"
Home theater and bluetooth audio does not work



  The device is good in terms of streaming quality but I have an issue with audio. It has a feature called home theater where you can connect the stick and your Echo, but whenever I do that, the device always freezes. Tech support already replaced id twice but the same issue on all the replacements as well. They say that the device is disconnecting from network, of course it disconnects cause when it freezes it is  no longer connected to wifi. Sometimes they tell its my Echo and some times they tell its the fire stick. I factory reset my router, echo and the fire stick multiple times and I just gave up on this. Tech support says they will call back with an update but they never do, pathetic service by Amazon.Then I thought I would connect the fire stick via Bluetooth to the echo, guess what that also does not work. The audio is barely audible even at maximum level, when contacting the tech support for this issue, they gave me the same troubleshooting steps as before and then when nothing worked, THEY JUST SAID THAT THEY WILL TAKE FEEDBACK. NO RESOLUTION TO MY PROBLEM!!!!!!!!! Even the supervisors are not able to help me out, so now I have got a fire stick which does not work with external audio sources and I am stuck to use it via the worse speakers of my TV.I am MORE DISAPPOINTED WITH THE TECH SUPPORT I RECEIVED THAN THE DEVICE.

",0
145,VishalD,"
Not as expected



  1) Issues related to installation of most of the apps (Jio TV, Wynk)2) No Ethernet port. Available on other product with same price ( need to purchase adapter separately)3) Go for it only if you have good knowledge of app installation and configuration4) Not able to extend memory with additional card or pen drive ( Available on other products with same or less price)5) Not able to install tatasky binge app

",0
146,Arachi,"
Life ain't complete without a Firestick !



  If you do not own this and own a TV you are missing something . Stop reading reviews and just order this. Life will be more peaceful. And do get that Netflix subscription. The lowest subscription works best.  Of course this means you will do less housework, spend less time in the gym, talk less to useless friends. But what a great device for you and your wife/husband to quietly spend the evening watching the movie ""Chances Are ....""

",1
147,Mohit,"
Works great but be mindful of which TVs it works with



  Great device, very performant. Doesn't lag on my Jio Wifi at 30 Mbps speed. Great picture quality. Only problem is that it didn't work fully with my Noble Skiodo TV - the volume and power buttons didn't integrate with the TV's software. Amazon should let customers know beforehand which TVs it works with. I saw Noble Skiodo in the list of TVs while setting up this remote but somehow it was not able to download the TV control software from their website. Noble Skiodo TV model that I had is no longer available on Amazon so that may be responsible for lack of software. Anyways, I returned it to buy a Fire TV stick Lite edition which doesn't have power and volume controls and will save me 400 Rs. I purchased this device for Rs 2199 in October 2021.

",1
148,Aman tekani,"
Very useful if you don't have a smart TV but have a TV with a HDMI port and internet connection.



  The product is very useful and worth the money. I bought it at 2200 at sale, but if you don't have a smart TV and have a TV with HDMI port and have internet connection, and also not thinking of upgrading the TV for like quite a time, then this product is very useful. But remember only the youtube content is totally free, everything else is paid, you need to have some OTT membership, which has really became normal these days. Also remember to buy an extender if your TV is wall mounted and the device may get trapped inside as the internet won't catch and it won't work. The extender included is really just a small cable, size of charging cable you get with a power bank.

",1
149,Ahmed Mushfiq Siddiqui,"
Good product. I got a broken seal package



  I got a broken seal package. All the contents were intact and looked unused. This has never happened earlier with Amazon. Needless to talk about the flawless and excellent experience using this firestick.. it makes my old LED a smart TV. Dedicated buttons also make it easy to switch channels without going to home page.

",1
150,Abhishek Jha,"
It's pretty good



  It's fabulous and a good device/setup to convert  normal tv to smart version.. just read few comments regarding on/off and volume not working. Just telling u need to pair your tv with the firestick remote.. if it doesn't work.. you need to change the IR profile that's available for ur tv... Mine didn't work for the default one..I had to change the IR profile.. in have only TV option.. Hope this helps and clears ur doubt.. only thing that concerned me was space given.. only 4-5 GB space was provided.. which they should improve in the upcoming version..All in all, I liked it.. it's good way to convert ur tv into something more and more useful.. Watching 855 channels for free,latest webseries and movies for free,that too on the big screen... is something awesome.. So go for it.. U will love it..

",1
151,Saikat Ghosh,"
It's Best out of All in that price range. But only one concern about 3rd Gen Fire Stick



  The product is a real gem. I have bought this 2nd time. First was 2nd generation one. I should have given 5 star for the product compare to price. I got it for Rs. 2099.00 on prime day sale. This was an irresistible deal. But I have given 2 star for the product to get attention the bug I am going to talk about. On my 2nd Gen Fire Stick when I connect to my Bluetooth Jbl Sound Bar it can play Dolby Digital Plus. I get the option to choose to play Dolby Digital Plus or only stereo. But on my 3rd Gen fire stick when I connect my Jbl sound bar via bluetooth it only shows stereo. I can't play Dolby Digial Plus via bluetooth. I have tried every possible way to play. But it can't. I hope it will be fixed very soon.

",1
